BestellungID;KundeID;VereinsPartnerID;Kreditkarte;GueltigBis;KKFirma;Kaufdatum;ProduktID;Menge;Preis;Rabatt
RS0001993;;Blaetterglueck;;;;01.10.2018;8;14;363,07;
RS0001993;;Blaetterglueck;;;;01.10.2018;18;1;393,80;
RS0001994;;Blaetterglueck;;;;01.10.2018;7;32;84,89;
RS0001995;;Blaetterglueck;;;;01.10.2018;63;3;420,49;
RS0001996;;Blaetterglueck;;;;01.10.2018;97;27;498,80;
RS0001997;;Blaetterglueck;;;;01.10.2018;120;29;180,58;
RS0001998;;Blaetterglueck;;;;01.10.2018;45;24;88,89;
RS0001998;;Blaetterglueck;;;;01.10.2018;65;43;260,20;
RS0001999;;Blaetterglueck;;;;01.10.2018;6;43;65,86;
RS0002000;;Blaetterglueck;;;;01.10.2018;80;18;159,92;
RS0002001;;Blaetterglueck;;;;01.10.2018;45;1;242,86;
RS0002002;;Blaetterglueck;;;;01.10.2018;1;29;252,27;
RS0002003;;Blaetterglueck;;;;01.10.2018;17;10;22,61;
RS0002003;;Blaetterglueck;;;;01.10.2018;77;14;100,53;
RS0002004;;Blaetterglueck;;;;01.10.2018;43;27;94,89;
RS0002005;;Blaetterglueck;;;;01.10.2018;40;15;95,89;
RS0002006;;Blaetterglueck;;;;01.10.2018;2;23;298,60;
RS0002007;;Blaetterglueck;;;;01.10.2018;120;42;97,89;
RS0002008;;Blaetterglueck;;;;01.10.2018;9;47;477,12;
RS0002008;;Blaetterglueck;;;;01.10.2018;19;38;39,89;
RS0002008;;Blaetterglueck;;;;01.10.2018;112;27;412,21;
RS0002008;;Blaetterglueck;;;;01.10.2018;3;11;243,08;
RS0002009;;Blaetterglueck;;;;01.10.2018;53;23;414,51;
RS0002010;;Blaetterglueck;;;;01.10.2018;13;42;52,76;
RS0002011;;Blaetterglueck;;;;01.10.2018;79;6;25,84;
RS0002012;;Blaetterglueck;;;;01.10.2018;11;49;102,89;
RS0002013;;Blaetterglueck;;;;01.10.2018;105;27;34,42;
RS0002013;;Blaetterglueck;;;;01.10.2018;93;38;442,42;
RS0002013;;Blaetterglueck;;;;01.10.2018;22;4;51,34;
RS0002014;;Blaetterglueck;;;;01.10.2018;35;20;322,40;
RS0002015;;Blaetterglueck;;;;01.10.2018;105;34;382,20;
RS0002016;;Blaetterglueck;;;;01.10.2018;47;48;308,79;
RS0002017;;Blaetterglueck;;;;01.10.2018;74;16;117,40;
RS0002018;;Blaetterglueck;;;;01.10.2018;117;39;108,89;
RS0002018;;Blaetterglueck;;;;01.10.2018;105;23;433,87;
RS0002019;;Blaetterglueck;;;;01.10.2018;23;36;248,04;
RS0002020;;Blaetterglueck;;;;01.10.2018;71;29;114,44;
RS0002021;;Blaetterglueck;;;;01.10.2018;94;27;461,66;
RS0002022;;Blaetterglueck;;;;01.10.2018;83;10;339,84;
RS0002023;;Blaetterglueck;;;;01.10.2018;94;32;99,62;
RS0002023;;Blaetterglueck;;;;01.10.2018;93;40;391,48;
RS0002023;;Blaetterglueck;;;;01.10.2018;105;45;186,00;
RS0002023;;Blaetterglueck;;;;01.10.2018;91;8;135,90;
RS0002024;;Blaetterglueck;;;;01.10.2018;8;29;96,83;
RS0002025;;Blaetterglueck;;;;01.10.2018;96;31;83,37;
RS0002026;;Blaetterglueck;;;;01.10.2018;27;41;213,69;
RS0002027;;Blaetterglueck;;;;01.10.2018;9;12;289,42;
RS0002028;;Blaetterglueck;;;;01.10.2018;36;46;381,40;
RS0002028;;Blaetterglueck;;;;01.10.2018;11;46;360,14;
RS0002029;;Blaetterglueck;;;;01.10.2018;21;24;348,36;
RS0002030;;Blaetterglueck;;;;01.10.2018;6;24;120,89;
RS0002031;;Blaetterglueck;;;;01.10.2018;74;22;216,60;
RS0002032;;Blaetterglueck;;;;01.10.2018;79;45;377,93;
RS0002033;;Blaetterglueck;;;;01.10.2018;113;40;123,89;
RS0002033;;Blaetterglueck;;;;01.10.2018;10;15;167,72;
RS0002033;;Blaetterglueck;;;;01.10.2018;122;49;203,89;
RS0002033;;Blaetterglueck;;;;01.10.2018;103;42;276,53;
RS0002034;;Blaetterglueck;;;;01.10.2018;94;12;124,89;
RS0002035;;Blaetterglueck;;;;01.10.2018;66;33;125,89;
RS0002036;;Blaetterglueck;;;;01.10.2018;62;11;248,22;
RS0002037;;Blaetterglueck;;;;01.10.2018;65;29;189,30;
RS0002038;;Blaetterglueck;;;;01.10.2018;78;33;243,01;
RS0002038;;Blaetterglueck;;;;01.10.2018;74;19;256,83;
RS0002038;;Blaetterglueck;;;;01.10.2018;64;30;55,79;
RS0002039;;Blaetterglueck;;;;01.10.2018;57;29;473,74;
RS0002040;;Blaetterglueck;;;;01.10.2018;115;31;264,86;
RS0002041;;Blaetterglueck;;;;01.10.2018;17;16;411,20;
RS0002042;;Blaetterglueck;;;;01.10.2018;98;29;264,40;
RS0002043;;Blaetterglueck;;;;01.10.2018;110;43;246,84;
RS0002043;;Blaetterglueck;;;;01.10.2018;109;18;46,89;
RS0002044;;Blaetterglueck;;;;01.10.2018;35;43;134,89;
RS0002045;;Blaetterglueck;;;;01.10.2018;38;18;125,37;
RS0002046;;Blaetterglueck;;;;01.10.2018;5;31;499,46;
RS0002047;;Blaetterglueck;;;;01.10.2018;119;20;63,83;
RS0002048;;Blaetterglueck;;;;01.10.2018;112;49;434,31;
RS0002048;;Blaetterglueck;;;;01.10.2018;94;39;410,58;
RS0002049;;Blaetterglueck;;;;01.10.2018;12;30;499,55;
RS0002050;;Blaetterglueck;;;;01.10.2018;5;45;233,24;
RS0002051;;Blaetterglueck;;;;01.10.2018;37;28;369,96;
RS0002052;;Blaetterglueck;;;;01.10.2018;90;41;51,34;
RS0002053;;Blaetterglueck;;;;01.10.2018;105;25;200,20;
RS0002053;;Blaetterglueck;;;;01.10.2018;104;6;461,67;
RS0002053;;Blaetterglueck;;;;01.10.2018;30;13;32,78;
RS0002053;;Blaetterglueck;;;;01.10.2018;106;12;307,15;
RS0002054;;Blaetterglueck;;;;01.10.2018;120;37;316,14;
RS0002055;;Blaetterglueck;;;;01.10.2018;108;12;145,89;
RS0002056;;Blaetterglueck;;;;01.10.2018;40;40;143,00;
RS0002057;;Blaetterglueck;;;;01.10.2018;59;10;208,32;
RS0002058;;Blaetterglueck;;;;01.10.2018;86;34;111,47;
RS0002058;;Blaetterglueck;;;;01.10.2018;110;18;49,89;
RS0002058;;Blaetterglueck;;;;01.10.2018;14;47;7,00;
RS0002058;;Blaetterglueck;;;;01.10.2018;45;30;29,65;
RS0002058;;Blaetterglueck;;;;01.10.2018;125;14;366,79;
RS0002059;;Blaetterglueck;;;;01.10.2018;75;36;391,17;
RS0002060;;Blaetterglueck;;;;01.10.2018;22;3;150,89;
RS0002061;;Blaetterglueck;;;;01.10.2018;10;32;198,05;
RS0002062;;Blaetterglueck;;;;01.10.2018;41;47;219,06;
RS0002063;;Blaetterglueck;;;;01.10.2018;84;20;153,89;
RS0002063;;Blaetterglueck;;;;01.10.2018;67;44;50,89;
RS0002064;;Blaetterglueck;;;;01.10.2018;8;20;454,38;
RS0002065;;Blaetterglueck;;;;01.10.2018;83;32;155,89;
RS0002066;;Blaetterglueck;;;;01.10.2018;55;11;136,81;
RS0002067;;Blaetterglueck;;;;01.10.2018;39;7;180,16;
RS0002068;;Blaetterglueck;;;;01.10.2018;46;3;158,89;
RS0002068;;Blaetterglueck;;;;01.10.2018;22;6;330,14;
RS0002068;;Blaetterglueck;;;;01.10.2018;86;49;413,12;
RS0002069;;Blaetterglueck;;;;01.10.2018;15;10;335,81;
RS0002070;;Blaetterglueck;;;;01.10.2018;47;17;208,47;
RS0002071;;Blaetterglueck;;;;01.10.2018;72;30;161,89;
RS0002072;;Blaetterglueck;;;;01.10.2018;90;10;205,49;
RS0002073;;Blaetterglueck;;;;01.10.2018;47;29;297,62;
RS0002073;;Blaetterglueck;;;;01.10.2018;40;15;199,75;
RS0002073;;Blaetterglueck;;;;01.10.2018;94;49;294,89;
RS0002074;;Blaetterglueck;;;;01.10.2018;47;1;397,80;
RS0002075;;Blaetterglueck;;;;01.10.2018;122;45;192,99;
RS0002076;;Blaetterglueck;;;;01.10.2018;72;48;15,99;
RS0002077;;Blaetterglueck;;;;01.10.2018;45;3;83,07;
RS0002078;;Blaetterglueck;;;;01.10.2018;106;1;67,35;
RS0002078;;Blaetterglueck;;;;01.10.2018;86;32;25,59;
RS0002079;;Blaetterglueck;;;;01.10.2018;25;24;203,87;
RS0002080;;Blaetterglueck;;;;01.10.2018;100;24;86,15;
RS0002081;;Blaetterglueck;;;;01.10.2018;106;49;277,76;
RS0002082;;Blaetterglueck;;;;01.10.2018;61;16;341,63;
RS0002083;;Blaetterglueck;;;;01.10.2018;106;29;476,64;
RS0002083;;Blaetterglueck;;;;01.10.2018;79;3;442,17;
RS0002083;;Blaetterglueck;;;;01.10.2018;54;43;403,98;
RS0002083;;Blaetterglueck;;;;01.10.2018;123;8;498,40;
RS0002084;;Blaetterglueck;;;;01.10.2018;97;39;36,96;
RS0002085;;Blaetterglueck;;;;01.10.2018;51;27;264,28;
RS0002086;;Blaetterglueck;;;;01.10.2018;85;13;50,93;
RS0002087;;Blaetterglueck;;;;01.10.2018;124;15;221,32;
RS0002088;;Blaetterglueck;;;;01.10.2018;99;31;178,89;
RS0002088;;Blaetterglueck;;;;01.10.2018;71;42;234,27;
RS0002089;;Blaetterglueck;;;;01.10.2018;112;33;369,07;
RS0002090;;Blaetterglueck;;;;01.10.2018;66;47;293,75;
RS0002091;;Blaetterglueck;;;;01.10.2018;22;9;173,56;
RS0002092;;Blaetterglueck;;;;01.10.2018;111;44;268,42;
RS0002093;;Blaetterglueck;;;;01.10.2018;54;1;307,70;
RS0002093;;Blaetterglueck;;;;01.10.2018;31;44;230,80;
RS0002093;;Blaetterglueck;;;;01.10.2018;95;29;243,09;
RS0002094;;Blaetterglueck;;;;01.10.2018;18;7;420,81;
RS0002095;;Blaetterglueck;;;;01.10.2018;91;22;25,78;
RS0002096;;Blaetterglueck;;;;01.10.2018;43;10;186,89;
RS0002097;;Blaetterglueck;;;;01.10.2018;104;29;197,89;
RS0002098;;Blaetterglueck;;;;01.10.2018;66;9;499,46;
RS0002098;;Blaetterglueck;;;;01.10.2018;87;34;476,91;
RS0002098;;Blaetterglueck;;;;01.10.2018;111;17;139,13;
RS0002099;;Blaetterglueck;;;;01.10.2018;45;37;147,78;
RS0002100;;Blaetterglueck;;;;01.10.2018;23;30;190,89;
RS0002101;;Blaetterglueck;;;;01.10.2018;105;46;107,55;
RS0002102;;Blaetterglueck;;;;01.10.2018;4;48;177,55;
RS0002103;;Blaetterglueck;;;;01.10.2018;59;8;316,06;
RS0002103;;Blaetterglueck;;;;01.10.2018;91;13;170,01;
RS0002104;;Blaetterglueck;;;;01.10.2018;119;36;202,20;
RS0002105;;Blaetterglueck;;;;01.10.2018;53;45;195,89;
RS0002106;;Blaetterglueck;;;;01.10.2018;68;36;196,89;
RS0002107;;Blaetterglueck;;;;01.10.2018;63;43;467,88;
RS0002108;;Blaetterglueck;;;;01.10.2018;122;46;198,89;
RS0002108;;Blaetterglueck;;;;01.10.2018;73;26;347,86;
RS0002108;;Blaetterglueck;;;;01.10.2018;32;23;172,67;
RS0002109;;Blaetterglueck;;;;01.10.2018;80;46;286,61;
RS0002110;;Blaetterglueck;;;;01.10.2018;71;34;122,13;
RS0002111;;Blaetterglueck;;;;01.10.2018;119;32;116,88;
RS0002112;;Blaetterglueck;;;;01.10.2018;112;27;412,21;
RS0002113;;Blaetterglueck;;;;01.10.2018;122;49;203,89;
RS0002113;;Blaetterglueck;;;;01.10.2018;19;46;394,82;
RS0002113;;Blaetterglueck;;;;01.10.2018;27;8;255,89;
RS0002113;;Blaetterglueck;;;;01.10.2018;61;35;296,89;
RS0002114;;Blaetterglueck;;;;01.10.2018;14;47;7,00;
RS0002115;;Blaetterglueck;;;;01.10.2018;54;43;403,98;
RS0002116;;Blaetterglueck;;;;01.10.2018;32;23;172,67;
RS0002117;;Blaetterglueck;;;;01.10.2018;16;35;230,80;
RS0002118;;Blaetterglueck;;;;01.10.2018;84;49;243,66;
RS0002118;;Blaetterglueck;;;;01.10.2018;49;37;374,78;
RS0002119;;Blaetterglueck;;;;01.10.2018;38;5;120,25;
RS0002120;;Blaetterglueck;;;;01.10.2018;13;27;361,73;
RS0002121;;Blaetterglueck;;;;01.10.2018;107;36;176,21;
RS0002122;;Blaetterglueck;;;;01.10.2018;32;35;13,92;
RS0002123;;Blaetterglueck;;;;01.10.2018;89;48;197,86;
RS0002123;;Blaetterglueck;;;;01.10.2018;64;17;479,49;
RS0002124;;Blaetterglueck;;;;01.10.2018;68;3;123,24;
RS0002125;;Blaetterglueck;;;;01.10.2018;48;9;257,11;
RS0002126;;Blaetterglueck;;;;01.10.2018;29;14;213,62;
RS0002127;;Blaetterglueck;;;;01.10.2018;112;5;217,89;
RS0002128;;Blaetterglueck;;;;01.10.2018;55;6;212,24;
RS0002128;;Blaetterglueck;;;;01.10.2018;47;46;63,89;
RS0002128;;Blaetterglueck;;;;01.10.2018;29;24;113,34;
RS0002129;;Blaetterglueck;;;;01.10.2018;44;35;292,24;
RS0002130;;Blaetterglueck;;;;01.10.2018;89;2;69,34;
RS0002131;;Blaetterglueck;;;;01.10.2018;82;35;230,97;
RS0002132;;Blaetterglueck;;;;01.10.2018;113;5;413,82;
RS0002133;;Blaetterglueck;;;;01.10.2018;12;37;192,70;
RS0002133;;Blaetterglueck;;;;01.10.2018;95;1;64,89;
RS0002133;;Blaetterglueck;;;;01.10.2018;16;35;230,80;
RS0002133;;Blaetterglueck;;;;01.10.2018;8;6;179,81;
RS0002134;;Blaetterglueck;;;;01.10.2018;5;10;279,62;
RS0002135;;Blaetterglueck;;;;01.10.2018;32;24;496,24;
RS0002136;;Blaetterglueck;;;;01.10.2018;19;49;40,61;
RS0002137;;Blaetterglueck;;;;01.10.2018;16;3;229,77;
RS0002138;;Blaetterglueck;;;;01.10.2018;1;19;152,55;
RS0002138;;Blaetterglueck;;;;01.10.2018;112;45;284,02;
RS0002139;;Blaetterglueck;;;;01.10.2018;122;47;388,20;
RS0002140;;Blaetterglueck;;;;01.10.2018;6;26;163,07;
RS0002141;;Blaetterglueck;;;;01.10.2018;29;29;188,47;
RS0002142;;Blaetterglueck;;;;01.10.2018;94;35;276,12;
RS0002143;;Blaetterglueck;;;;01.10.2018;119;2;158,62;
RS0002143;;Blaetterglueck;;;;01.10.2018;70;38;112,19;
RS0002143;;Blaetterglueck;;;;01.10.2018;47;46;282,88;
RS0002144;;Blaetterglueck;;;;01.10.2018;11;3;234,89;
RS0002145;;Blaetterglueck;;;;01.10.2018;45;30;29,65;
RS0002146;;Blaetterglueck;;;;01.10.2018;121;1;236,89;
RS0002147;;Blaetterglueck;;;;01.10.2018;73;35;366,83;
RS0002148;;Blaetterglueck;;;;01.10.2018;21;6;238,89;
RS0002148;;Blaetterglueck;;;;01.10.2018;113;4;67,89;
RS0002149;;Blaetterglueck;;;;01.10.2018;27;20;475,36;
RS0002150;;Blaetterglueck;;;;01.10.2018;60;33;240,89;
RS0002151;;Blaetterglueck;;;;01.10.2018;110;31;151,44;
RS0002152;;Blaetterglueck;;;;01.10.2018;124;48;116,35;
RS0002153;;Blaetterglueck;;;;01.10.2018;31;16;243,89;
RS0002153;;Blaetterglueck;;;;01.10.2018;86;18;68,89;
RS0002153;;Blaetterglueck;;;;01.10.2018;3;36;298,89;
RS0002154;;Blaetterglueck;;;;01.10.2018;106;33;496,88;
RS0002155;;Blaetterglueck;;;;01.10.2018;28;43;279,44;
RS0002156;;Blaetterglueck;;;;01.10.2018;123;12;360,34;
RS0002157;;Blaetterglueck;;;;01.10.2018;8;14;363,07;
RS0002158;;Blaetterglueck;;;;01.10.2018;3;11;243,08;
RS0002158;;Blaetterglueck;;;;01.10.2018;112;23;27,28;
RS0002158;;Blaetterglueck;;;;01.10.2018;84;49;243,66;
RS0002158;;Blaetterglueck;;;;01.10.2018;36;33;258,89;
RS0002158;;Blaetterglueck;;;;01.10.2018;62;42;293,54;
RS0002159;;Blaetterglueck;;;;01.10.2018;105;45;186,00;
RS0002160;;Blaetterglueck;;;;01.10.2018;64;30;55,79;
RS0002161;;Blaetterglueck;;;;01.10.2018;30;13;32,78;
RS0002162;;Blaetterglueck;;;;01.10.2018;86;49;413,12;
RS0002163;;Blaetterglueck;;;;01.10.2018;123;8;498,40;
RS0002163;;Blaetterglueck;;;;01.10.2018;37;33;467,82;
RS0002164;;Blaetterglueck;;;;01.10.2018;111;17;139,13;
RS0002165;;Blaetterglueck;;;;01.10.2018;27;8;255,89;
RS0002166;;Blaetterglueck;;;;01.10.2018;29;24;113,34;
RS0002167;;Blaetterglueck;;;;01.10.2018;47;46;282,88;
RS0002168;;Blaetterglueck;;;;01.10.2018;36;33;258,89;
RS0002168;;Blaetterglueck;;;;01.10.2018;24;45;344,51;
RS0002169;;Blaetterglueck;;;;01.10.2018;47;14;224,63;
RS0002170;;Blaetterglueck;;;;01.10.2018;77;32;312,33;
RS0002171;;Blaetterglueck;;;;01.10.2018;125;22;195,86;
RS0002172;;Blaetterglueck;;;;01.10.2018;77;21;262,89;
RS0002173;;Blaetterglueck;;;;01.10.2018;15;42;254,30;
RS0002173;;Blaetterglueck;;;;01.10.2018;44;48;314,14;
RS0002173;;Blaetterglueck;;;;01.10.2018;47;14;224,63;
RS0002173;;Blaetterglueck;;;;01.10.2018;39;42;299,89;
RS0002174;;Blaetterglueck;;;;01.10.2018;36;3;434,90;
RS0002175;;Blaetterglueck;;;;01.10.2018;62;31;224,92;
RS0002176;;Blaetterglueck;;;;01.10.2018;64;13;472,47;
RS0002177;;Blaetterglueck;;;;01.10.2018;28;39;224,24;
RS0002178;;Blaetterglueck;;;;01.10.2018;16;40;268,89;
RS0002178;;Blaetterglueck;;;;01.10.2018;113;36;376,55;
RS0002179;;Blaetterglueck;;;;01.10.2018;36;15;482,52;
RS0002180;;Blaetterglueck;;;;01.10.2018;101;45;270,89;
RS0002181;;Blaetterglueck;;;;01.10.2018;107;18;399,76;
RS0002182;;Blaetterglueck;;;;01.10.2018;27;16;50,43;
RS0002183;;Blaetterglueck;;;;01.10.2018;44;40;273,89;
RS0002183;;Blaetterglueck;;;;01.10.2018;28;48;74,89;
RS0002183;;Blaetterglueck;;;;01.10.2018;38;5;120,25;
RS0002183;;Blaetterglueck;;;;01.10.2018;121;1;236,89;
RS0002183;;Blaetterglueck;;;;01.10.2018;72;23;431,98;
RS0002184;;Blaetterglueck;;;;01.10.2018;56;31;293,94;
RS0002185;;Blaetterglueck;;;;01.10.2018;55;31;261,07;
RS0002186;;Blaetterglueck;;;;01.10.2018;107;24;274,75;
RS0002187;;Blaetterglueck;;;;01.10.2018;74;22;120,11;
RS0002188;;Blaetterglueck;;;;01.10.2018;101;19;371,98;
RS0002188;;Blaetterglueck;;;;01.10.2018;84;24;432,37;
RS0002188;;Blaetterglueck;;;;01.10.2018;77;32;312,33;
RS0002189;;Blaetterglueck;;;;01.10.2018;68;19;279,89;
RS0002190;;Blaetterglueck;;;;01.10.2018;105;39;124,46;
RS0002191;;Blaetterglueck;;;;01.10.2018;17;21;439,83;
RS0002192;;Blaetterglueck;;;;01.10.2018;45;48;282,89;
RS0002193;;Blaetterglueck;;;;01.10.2018;30;4;393,91;
RS0002193;;Blaetterglueck;;;;01.10.2018;87;13;49,26;
RS0002193;;Blaetterglueck;;;;01.10.2018;41;8;273,79;
RS0002194;;Blaetterglueck;;;;01.10.2018;60;22;425,17;
RS0002195;;Blaetterglueck;;;;01.10.2018;105;40;285,89;
RS0002196;;Blaetterglueck;;;;01.10.2018;85;38;100,57;
RS0002197;;Blaetterglueck;;;;01.10.2018;123;16;47,87;
RS0002198;;Blaetterglueck;;;;01.10.2018;86;15;81,92;
RS0002198;;Blaetterglueck;;;;01.10.2018;112;36;195,14;
RS0002199;;Blaetterglueck;;;;01.10.2018;102;5;216,84;
RS0002200;;Blaetterglueck;;;;01.10.2018;18;1;393,80;
RS0002201;;Blaetterglueck;;;;01.10.2018;22;4;51,34;
RS0002202;;Blaetterglueck;;;;01.10.2018;103;42;276,53;
RS0002203;;Blaetterglueck;;;;01.10.2018;106;12;307,15;
RS0002203;;Blaetterglueck;;;;01.10.2018;14;39;387,66;
RS0002203;;Blaetterglueck;;;;01.10.2018;125;22;195,86;
RS0002204;;Blaetterglueck;;;;01.10.2018;94;49;294,89;
RS0002205;;Blaetterglueck;;;;01.10.2018;95;29;243,09;
RS0002206;;Blaetterglueck;;;;01.10.2018;61;35;296,89;
RS0002207;;Blaetterglueck;;;;01.10.2018;8;6;179,81;
RS0002208;;Blaetterglueck;;;;01.10.2018;3;36;298,89;
RS0002208;;Blaetterglueck;;;;01.10.2018;116;31;175,49;
RS0002208;;Blaetterglueck;;;;01.10.2018;13;27;361,73;
RS0002209;;Blaetterglueck;;;;01.10.2018;39;42;299,89;
RS0002210;;Blaetterglueck;;;;01.10.2018;41;8;273,79;
RS0002211;;Blaetterglueck;;;;01.10.2018;46;3;69,15;
RS0002212;;Blaetterglueck;;;;01.10.2018;58;27;257,45;
RS0002213;;Blaetterglueck;;;;01.10.2018;65;2;48,83;
RS0002213;;Blaetterglueck;;;;01.10.2018;45;3;112,57;
RS0002213;;Blaetterglueck;;;;01.10.2018;46;3;69,15;
RS0002214;;Blaetterglueck;;;;01.10.2018;110;17;304,89;
RS0002215;;Blaetterglueck;;;;01.10.2018;35;13;305,89;
RS0002216;;Blaetterglueck;;;;01.10.2018;26;48;306,89;
RS0002217;;Blaetterglueck;;;;01.10.2018;15;32;132,05;
RS0002218;;Blaetterglueck;;;;01.10.2018;68;6;351,36;
RS0002218;;Blaetterglueck;;;;01.10.2018;46;31;81,89;
RS0002218;;Blaetterglueck;;;;01.10.2018;77;21;262,89;
RS0002219;;Blaetterglueck;;;;01.10.2018;51;47;105,13;
RS0002220;;Blaetterglueck;;;;01.10.2018;83;27;337,26;
RS0002221;;Blaetterglueck;;;;01.10.2018;19;17;311,89;
