BestellungID;KundeID;VereinsPartnerID;Kaufdatum;Kreditkarte;GueltigBis;KKFirma;ProduktID;Menge;Preis;Rabatt
RS0000047;;GlückAuf;05.03.2022;;;;87;32;0,3;0
RS0000048;;GlückAuf;05.03.2022;;;;43;28;2,1;0
RS0000049;;GlückAuf;05.03.2022;;;;2;25;3,8;0
RS0000049;;GlückAuf;05.03.2022;;;;49;42;3,6;0
RS0000050;;GlückAuf;05.03.2022;;;;18;16;5,8;0
RS0000051;;GlückAuf;05.03.2022;;;;56;43;6,8;0
RS0000052;;GlückAuf;05.03.2022;;;;103;14;4,8;0
RS0000053;;GlückAuf;05.03.2022;;;;25;37;6,8;0
RS0000054;;GlückAuf;05.03.2022;;;;74;23;2,8;0
RS0000054;;GlückAuf;05.03.2022;;;;97;21;8,8;0
RS0000055;;GlückAuf;05.03.2022;;;;46;42;7,8;0
RS0000056;;GlückAuf;05.03.2022;;;;64;9;4,3;0
RS0000057;;GlückAuf;05.03.2022;;;;33;41;0,6;0
RS0000058;;GlückAuf;05.03.2022;;;;123;1;2,8;0
RS0000059;;GlückAuf;05.03.2022;;;;2;10;3,8;0
RS0000059;;GlückAuf;05.03.2022;;;;18;49;5,8;0
RS0000059;;GlückAuf;05.03.2022;;;;40;31;0,8;0
RS0000059;;GlückAuf;05.03.2022;;;;54;47;4,8;0
RS0000059;;GlückAuf;05.03.2022;;;;67;6;3,3;0
RS0000060;;GlückAuf;05.03.2022;;;;49;34;3,6;0
RS0000061;;GlückAuf;05.03.2022;;;;4;17;4,8;0
RS0000062;;GlückAuf;05.03.2022;;;;64;41;4,3;0
RS0000063;;GlückAuf;05.03.2022;;;;79;24;1,3;0
RS0000064;;GlückAuf;05.03.2022;;;;2;2;3,8;0
RS0000064;;GlückAuf;05.03.2022;;;;71;20;3,8;0
RS0000065;;GlückAuf;05.03.2022;;;;124;1;2,8;0
RS0000066;;GlückAuf;05.03.2022;;;;30;12;3,8;0
RS0000067;;GlückAuf;05.03.2022;;;;66;22;2,8;0
RS0000068;;GlückAuf;05.03.2022;;;;39;9;0,6;0
RS0000069;;GlückAuf;05.03.2022;;;;2;46;3,8;0
RS0000069;;GlückAuf;05.03.2022;;;;33;6;0,6;0
RS0000069;;GlückAuf;05.03.2022;;;;65;48;4,3;0
RS0000069;;GlückAuf;05.03.2022;;;;91;13;1;0
RS0000070;;GlückAuf;05.03.2022;;;;30;17;3,8;0
RS0000071;;GlückAuf;05.03.2022;;;;77;21;1,8;0
RS0000072;;GlückAuf;05.03.2022;;;;75;4;6,8;0
RS0000073;;GlückAuf;05.03.2022;;;;23;16;2,8;0
RS0000074;;GlückAuf;05.03.2022;;;;32;7;4,8;0
RS0000074;;GlückAuf;05.03.2022;;;;67;18;3,3;0
RS0000074;;GlückAuf;05.03.2022;;;;92;29;2,2;0
RS0000075;;GlückAuf;05.03.2022;;;;61;24;7,8;0
RS0000076;;GlückAuf;05.03.2022;;;;115;9;4,3;0
RS0000077;;GlückAuf;05.03.2022;;;;39;19;0,6;0
RS0000078;;GlückAuf;05.03.2022;;;;66;21;2,8;0
RS0000079;;GlückAuf;05.03.2022;;;;4;32;4,8;0
RS0000079;;GlückAuf;05.03.2022;;;;5;27;4,8;0
RS0000079;;GlückAuf;05.03.2022;;;;34;45;0,55;0
RS0000080;;GlückAuf;05.03.2022;;;;65;33;4,3;0
RS0000081;;GlückAuf;05.03.2022;;;;108;49;7,8;0
RS0000082;;GlückAuf;05.03.2022;;;;96;12;7,8;0
RS0000083;;GlückAuf;05.03.2022;;;;95;2;1,8;0
RS0000084;;GlückAuf;05.03.2022;;;;93;24;2,1;0
RS0000084;;GlückAuf;05.03.2022;;;;104;22;4,8;0
RS0000085;;GlückAuf;05.03.2022;;;;76;41;3,8;0
RS0000086;;GlückAuf;05.03.2022;;;;1;17;1,8;0
RS0000087;;GlückAuf;05.03.2022;;;;94;39;3,8;0
RS0000088;;GlückAuf;05.03.2022;;;;41;43;1;0
RS0000089;;GlückAuf;05.03.2022;;;;9;41;2,8;0
RS0000089;;GlückAuf;05.03.2022;;;;34;15;0,55;0
RS0000089;;GlückAuf;05.03.2022;;;;61;46;7,8;0
RS0000090;;GlückAuf;05.03.2022;;;;49;11;3,6;0
RS0000091;;GlückAuf;05.03.2022;;;;4;17;4,8;0
RS0000092;;GlückAuf;05.03.2022;;;;52;35;3,8;0
RS0000093;;GlückAuf;05.03.2022;;;;112;6;3,8;0
RS0000094;;GlückAuf;05.03.2022;;;;5;46;4,8;0
RS0000094;;GlückAuf;05.03.2022;;;;60;45;0,3;0
RS0000094;;GlückAuf;05.03.2022;;;;88;32;0,3;0
RS0000094;;GlückAuf;05.03.2022;;;;100;10;5,4;0
RS0000094;;GlückAuf;05.03.2022;;;;109;36;2,8;0
RS0000095;;GlückAuf;05.03.2022;;;;69;5;1,8;0
RS0000096;;GlückAuf;05.03.2022;;;;43;22;2,1;0
RS0000097;;GlückAuf;05.03.2022;;;;61;9;7,8;0
RS0000098;;GlückAuf;05.03.2022;;;;105;24;4,8;0
RS0000099;;GlückAuf;05.03.2022;;;;61;28;7,8;0
RS0000099;;GlückAuf;05.03.2022;;;;90;48;0,8;0
RS0000099;;GlückAuf;05.03.2022;;;;103;10;4,8;0
RS0000100;;GlückAuf;05.03.2022;;;;44;46;3,8;0
RS0000101;;GlückAuf;05.03.2022;;;;109;3;2,8;0
RS0000102;;GlückAuf;05.03.2022;;;;78;40;1,8;0
RS0000103;;GlückAuf;05.03.2022;;;;77;40;1,8;0
RS0000104;;GlückAuf;05.03.2022;;;;17;35;3,3;0
RS0000104;;GlückAuf;05.03.2022;;;;19;19;1,8;0
RS0000104;;GlückAuf;05.03.2022;;;;97;3;8,8;0
RS0000105;;GlückAuf;05.03.2022;;;;63;43;4,3;0
RS0000106;;GlückAuf;05.03.2022;;;;7;32;7,8;0
RS0000107;;GlückAuf;05.03.2022;;;;63;11;4,3;0
RS0000108;;GlückAuf;05.03.2022;;;;122;1;1,8;0
RS0000109;;GlückAuf;05.03.2022;;;;78;46;1,8;0
RS0000109;;GlückAuf;05.03.2022;;;;123;41;2,8;0
RS0000110;;GlückAuf;05.03.2022;;;;115;40;4,3;0
RS0000111;;GlückAuf;05.03.2022;;;;29;6;1,3;0
RS0000112;;GlückAuf;05.03.2022;;;;57;25;7,8;0
RS0000113;;GlückAuf;05.03.2022;;;;101;5;1,8;0
RS0000114;;GlückAuf;05.03.2022;;;;111;13;7,8;0
RS0000114;;GlückAuf;05.03.2022;;;;116;38;2,8;0
RS0000115;;GlückAuf;05.03.2022;;;;7;2;7,8;0
RS0000116;;GlückAuf;05.03.2022;;;;60;35;0,3;0
RS0000117;;GlückAuf;05.03.2022;;;;107;4;7,8;0
RS0000118;;GlückAuf;05.03.2022;;;;39;47;0,6;0
RS0000119;;GlückAuf;05.03.2022;;;;1;21;1,8;0
RS0000119;;GlückAuf;05.03.2022;;;;62;11;3,8;0
RS0000119;;GlückAuf;05.03.2022;;;;87;48;0,3;0
RS0000119;;GlückAuf;05.03.2022;;;;109;2;2,8;0
RS0000119;;GlückAuf;05.03.2022;;;;113;34;4,3;0
RS0000120;;GlückAuf;05.03.2022;;;;11;16;7,8;0
RS0000121;;GlückAuf;05.03.2022;;;;21;16;3,8;0
RS0000122;;GlückAuf;05.03.2022;;;;40;27;0,8;0
RS0000123;;GlückAuf;05.03.2022;;;;48;6;4,3;0
RS0000124;;GlückAuf;05.03.2022;;;;36;38;0,3;0
RS0000124;;GlückAuf;05.03.2022;;;;56;15;6,8;0
RS0000125;;GlückAuf;05.03.2022;;;;107;13;7,8;0
RS0000126;;GlückAuf;05.03.2022;;;;94;45;3,8;0
RS0000127;;GlückAuf;05.03.2022;;;;63;10;4,3;0
RS0000128;;GlückAuf;05.03.2022;;;;79;1;1,3;0
RS0000129;;GlückAuf;05.03.2022;;;;27;37;1,8;0
RS0000129;;GlückAuf;05.03.2022;;;;86;6;0,3;0
RS0000130;;GlückAuf;05.03.2022;;;;108;45;7,8;0
RS0000131;;GlückAuf;05.03.2022;;;;87;16;0,3;0
RS0000132;;GlückAuf;05.03.2022;;;;10;29;0,3;0
RS0000133;;GlückAuf;05.03.2022;;;;48;48;4,3;0
RS0000134;;GlückAuf;05.03.2022;;;;12;18;3,8;0
RS0000134;;GlückAuf;05.03.2022;;;;54;3;4,8;0
RS0000134;;GlückAuf;05.03.2022;;;;107;49;7,8;0
RS0000135;;GlückAuf;05.03.2022;;;;56;47;6,8;0
RS0000136;;GlückAuf;05.03.2022;;;;84;5;0,55;0
RS0000137;;GlückAuf;05.03.2022;;;;108;49;7,8;0
RS0000138;;GlückAuf;05.03.2022;;;;112;3;3,8;0
RS0000139;;GlückAuf;05.03.2022;;;;10;20;0,3;0
RS0000139;;GlückAuf;05.03.2022;;;;86;13;0,3;0
RS0000139;;GlückAuf;05.03.2022;;;;113;41;4,3;0
RS0000140;;GlückAuf;05.03.2022;;;;30;21;3,8;0
RS0000141;;GlückAuf;05.03.2022;;;;43;12;2,1;0
RS0000142;;GlückAuf;05.03.2022;;;;1;43;1,8;0
RS0000143;;GlückAuf;05.03.2022;;;;28;36;1,8;0
RS0000144;;GlückAuf;05.03.2022;;;;20;31;7,8;0
RS0000144;;GlückAuf;05.03.2022;;;;23;29;2,8;0
RS0000144;;GlückAuf;05.03.2022;;;;28;14;1,8;0
RS0000144;;GlückAuf;05.03.2022;;;;74;21;2,8;0
RS0000145;;GlückAuf;05.03.2022;;;;124;31;2,8;0
RS0000146;;GlückAuf;05.03.2022;;;;93;3;2,1;0
RS0000147;;GlückAuf;05.03.2022;;;;49;22;3,6;0
RS0000148;;GlückAuf;05.03.2022;;;;90;16;0,8;0
RS0000149;;GlückAuf;05.03.2022;;;;11;19;7,8;0
RS0000149;;GlückAuf;05.03.2022;;;;39;8;0,6;0
RS0000149;;GlückAuf;05.03.2022;;;;63;37;4,3;0
RS0000150;;GlückAuf;05.03.2022;;;;34;2;0,55;0
RS0000151;;GlückAuf;05.03.2022;;;;68;16;5,8;0
RS0000152;;GlückAuf;05.03.2022;;;;43;9;2,1;0
RS0000153;;GlückAuf;05.03.2022;;;;54;5;4,8;0
RS0000154;;GlückAuf;05.03.2022;;;;7;10;7,8;0
RS0000154;;GlückAuf;05.03.2022;;;;12;34;3,8;0
RS0000155;;GlückAuf;05.03.2022;;;;30;28;3,8;0
RS0000156;;GlückAuf;05.03.2022;;;;47;10;8,8;0
RS0000157;;GlückAuf;05.03.2022;;;;75;28;6,8;0
RS0000158;;GlückAuf;05.03.2022;;;;32;10;4,8;0
RS0000159;;GlückAuf;05.03.2022;;;;3;45;4,8;0
RS0000159;;GlückAuf;05.03.2022;;;;59;29;2,8;0
RS0000159;;GlückAuf;05.03.2022;;;;114;6;4,3;0
RS0000160;;GlückAuf;05.03.2022;;;;92;12;2,2;0
RS0000161;;GlückAuf;05.03.2022;;;;92;23;2,2;0
RS0000162;;GlückAuf;05.03.2022;;;;93;46;2,1;0
RS0000163;;GlückAuf;05.03.2022;;;;80;30;3,8;0
RS0000164;;GlückAuf;05.03.2022;;;;33;32;0,6;0
RS0000164;;GlückAuf;05.03.2022;;;;38;14;0,3;0
RS0000164;;GlückAuf;05.03.2022;;;;46;27;7,8;0
RS0000165;;GlückAuf;05.03.2022;;;;10;36;0,3;0
RS0000166;;GlückAuf;05.03.2022;;;;123;3;2,8;0
RS0000167;;GlückAuf;05.03.2022;;;;102;19;3,8;0
RS0000168;;GlückAuf;05.03.2022;;;;8;8;7,8;0
RS0000169;;GlückAuf;05.03.2022;;;;59;38;2,8;0
RS0000169;;GlückAuf;05.03.2022;;;;77;32;1,8;0
RS0000169;;GlückAuf;05.03.2022;;;;93;32;2,1;0
RS0000170;;GlückAuf;05.03.2022;;;;46;44;7,8;0
RS0000171;;GlückAuf;05.03.2022;;;;1;25;1,8;0
RS0000172;;GlückAuf;05.03.2022;;;;11;25;7,8;0
RS0000173;;GlückAuf;05.03.2022;;;;113;18;4,3;0
RS0000174;;GlückAuf;05.03.2022;;;;76;1;3,8;0
RS0000174;;GlückAuf;05.03.2022;;;;101;18;1,8;0
RS0000175;;GlückAuf;05.03.2022;;;;25;8;6,8;0
RS0000176;;GlückAuf;05.03.2022;;;;17;12;3,3;0
RS0000177;;GlückAuf;05.03.2022;;;;16;45;2,8;0
RS0000178;;GlückAuf;05.03.2022;;;;42;49;2,2;0
RS0000179;;GlückAuf;05.03.2022;;;;8;44;7,8;0
RS0000179;;GlückAuf;05.03.2022;;;;35;24;0,8;0
RS0000179;;GlückAuf;05.03.2022;;;;48;34;4,3;0
RS0000179;;GlückAuf;05.03.2022;;;;105;46;4,8;0
RS0000180;;GlückAuf;05.03.2022;;;;51;18;1,8;0
RS0000181;;GlückAuf;05.03.2022;;;;113;12;4,3;0
RS0000182;;GlückAuf;05.03.2022;;;;25;25;6,8;0
RS0000183;;GlückAuf;05.03.2022;;;;65;48;4,3;0
RS0000184;;GlückAuf;05.03.2022;;;;18;16;5,8;0
RS0000184;;GlückAuf;05.03.2022;;;;100;10;5,4;0
RS0000185;;GlückAuf;05.03.2022;;;;109;2;2,8;0
RS0000186;;GlückAuf;05.03.2022;;;;20;31;7,8;0
RS0000187;;GlückAuf;05.03.2022;;;;93;32;2,1;0
RS0000188;;GlückAuf;05.03.2022;;;;75;4;6,8;0
RS0000189;;GlückAuf;05.03.2022;;;;21;44;3,8;0
RS0000189;;GlückAuf;05.03.2022;;;;38;32;0,3;0
RS0000190;;GlückAuf;05.03.2022;;;;18;4;5,8;0
RS0000191;;GlückAuf;05.03.2022;;;;32;37;4,8;0
RS0000192;;GlückAuf;05.03.2022;;;;110;12;0,3;0
RS0000193;;GlückAuf;05.03.2022;;;;25;48;6,8;0
RS0000194;;GlückAuf;05.03.2022;;;;14;24;4,3;0
RS0000194;;GlückAuf;05.03.2022;;;;31;33;1,8;0
RS0000194;;GlückAuf;05.03.2022;;;;70;28;7,8;0
RS0000194;;GlückAuf;05.03.2022;;;;75;4;6,8;0
RS0000194;;GlückAuf;05.03.2022;;;;110;42;0,3;0
RS0000195;;GlückAuf;05.03.2022;;;;65;25;4,3;0
RS0000196;;GlückAuf;05.03.2022;;;;16;13;2,8;0
RS0000197;;GlückAuf;05.03.2022;;;;102;49;3,8;0
RS0000198;;GlückAuf;05.03.2022;;;;47;25;8,8;0
RS0000199;;GlückAuf;05.03.2022;;;;95;27;1,8;0
RS0000199;;GlückAuf;05.03.2022;;;;96;37;7,8;0
RS0000199;;GlückAuf;05.03.2022;;;;107;31;7,8;0
RS0000200;;GlückAuf;05.03.2022;;;;89;39;0,6;0
RS0000201;;GlückAuf;05.03.2022;;;;54;44;4,8;0
RS0000202;;GlückAuf;05.03.2022;;;;23;2;2,8;0
RS0000203;;GlückAuf;05.03.2022;;;;21;8;3,8;0
RS0000204;;GlückAuf;05.03.2022;;;;24;34;2,8;0
RS0000204;;GlückAuf;05.03.2022;;;;80;15;3,8;0
RS0000205;;GlückAuf;05.03.2022;;;;11;42;7,8;0
RS0000206;;GlückAuf;05.03.2022;;;;14;15;4,3;0
RS0000207;;GlückAuf;05.03.2022;;;;15;39;4,3;0
RS0000208;;GlückAuf;05.03.2022;;;;122;9;1,8;0
RS0000209;;GlückAuf;05.03.2022;;;;59;30;2,8;0
RS0000209;;GlückAuf;05.03.2022;;;;84;49;0,55;0
RS0000209;;GlückAuf;05.03.2022;;;;106;4;6,8;0
RS0000210;;GlückAuf;05.03.2022;;;;80;9;3,8;0
RS0000211;;GlückAuf;05.03.2022;;;;59;21;2,8;0
RS0000212;;GlückAuf;05.03.2022;;;;43;34;2,1;0
RS0000213;;GlückAuf;05.03.2022;;;;125;12;6,8;0
RS0000214;;GlückAuf;05.03.2022;;;;32;20;4,8;0
RS0000214;;GlückAuf;05.03.2022;;;;107;19;7,8;0
RS0000215;;GlückAuf;05.03.2022;;;;69;8;1,8;0
RS0000216;;GlückAuf;05.03.2022;;;;115;37;4,3;0
RS0000217;;GlückAuf;05.03.2022;;;;109;36;2,8;0
RS0000218;;GlückAuf;05.03.2022;;;;113;17;4,3;0
RS0000219;;GlückAuf;05.03.2022;;;;1;22;1,8;0
RS0000219;;GlückAuf;05.03.2022;;;;21;44;3,8;0
RS0000219;;GlückAuf;05.03.2022;;;;36;13;0,3;0
RS0000219;;GlückAuf;05.03.2022;;;;90;25;0,8;0
RS0000219;;GlückAuf;05.03.2022;;;;105;20;4,8;0
RS0000219;;GlückAuf;05.03.2022;;;;113;17;4,3;0
RS0000220;;GlückAuf;05.03.2022;;;;79;11;1,3;0
RS0000221;;GlückAuf;05.03.2022;;;;118;16;5,8;0
RS0000222;;GlückAuf;05.03.2022;;;;96;49;7,8;0
RS0000223;;GlückAuf;05.03.2022;;;;123;14;2,8;0
RS0000224;;GlückAuf;05.03.2022;;;;12;18;3,8;0
RS0000224;;GlückAuf;05.03.2022;;;;15;1;4,3;0
RS0000224;;GlückAuf;05.03.2022;;;;66;29;2,8;0
RS0000225;;GlückAuf;05.03.2022;;;;30;43;3,8;0
RS0000226;;GlückAuf;05.03.2022;;;;55;41;4,8;0
RS0000227;;GlückAuf;05.03.2022;;;;2;10;3,8;0
RS0000228;;GlückAuf;05.03.2022;;;;32;7;4,8;0
RS0000229;;GlückAuf;05.03.2022;;;;9;41;2,8;0
RS0000229;;GlückAuf;05.03.2022;;;;78;20;1,8;0
RS0000230;;GlückAuf;05.03.2022;;;;97;3;8,8;0
RS0000231;;GlückAuf;05.03.2022;;;;87;48;0,3;0
RS0000232;;GlückAuf;05.03.2022;;;;12;18;3,8;0
RS0000233;;GlückAuf;05.03.2022;;;;39;8;0,6;0
RS0000234;;GlückAuf;05.03.2022;;;;46;27;7,8;0
RS0000234;;GlückAuf;05.03.2022;;;;87;32;0,3;0
RS0000235;;GlückAuf;05.03.2022;;;;35;24;0,8;0
RS0000236;;GlückAuf;05.03.2022;;;;14;24;4,3;0
RS0000237;;GlückAuf;05.03.2022;;;;106;4;6,8;0
RS0000238;;GlückAuf;05.03.2022;;;;15;1;4,3;0
RS0000239;;GlückAuf;05.03.2022;;;;43;28;2,1;0
RS0000239;;GlückAuf;05.03.2022;;;;71;34;3,8;0
RS0000239;;GlückAuf;05.03.2022;;;;90;33;0,8;0
RS0000239;;GlückAuf;05.03.2022;;;;103;23;4,8;0
RS0000240;;GlückAuf;05.03.2022;;;;18;4;5,8;0
RS0000241;;GlückAuf;05.03.2022;;;;30;10;3,8;0
RS0000242;;GlückAuf;05.03.2022;;;;30;33;3,8;0
RS0000243;;GlückAuf;05.03.2022;;;;33;20;0,6;0
RS0000244;;GlückAuf;05.03.2022;;;;2;25;3,8;0
RS0000244;;GlückAuf;05.03.2022;;;;18;4;5,8;0
RS0000244;;GlückAuf;05.03.2022;;;;88;12;0,3;0
RS0000245;;GlückAuf;05.03.2022;;;;117;2;3,3;0
RS0000246;;GlückAuf;05.03.2022;;;;48;5;4,3;0
RS0000247;;GlückAuf;05.03.2022;;;;9;5;2,8;0
RS0000248;;GlückAuf;05.03.2022;;;;56;32;6,8;0
RS0000249;;GlückAuf;05.03.2022;;;;18;16;5,8;0
RS0000249;;GlückAuf;05.03.2022;;;;81;6;1,8;0
RS0000250;;GlückAuf;05.03.2022;;;;56;43;6,8;0
RS0000251;;GlückAuf;05.03.2022;;;;25;37;6,8;0
RS0000252;;GlückAuf;05.03.2022;;;;120;2;7,8;0
RS0000253;;GlückAuf;05.03.2022;;;;59;18;2,8;0
RS0000254;;GlückAuf;05.03.2022;;;;18;4;5,8;0
RS0000254;;GlückAuf;05.03.2022;;;;56;43;6,8;0
RS0000254;;GlückAuf;05.03.2022;;;;58;41;7,8;0
RS0000254;;GlückAuf;05.03.2022;;;;78;33;1,8;0
RS0000255;;GlückAuf;05.03.2022;;;;42;39;2,2;0
RS0000256;;GlückAuf;05.03.2022;;;;29;4;1,3;0
RS0000257;;GlückAuf;05.03.2022;;;;97;34;8,8;0
RS0000258;;GlückAuf;05.03.2022;;;;125;13;6,8;0
RS0000259;;GlückAuf;05.03.2022;;;;3;41;4,8;0
RS0000259;;GlückAuf;05.03.2022;;;;103;14;4,8;0
RS0000259;;GlückAuf;05.03.2022;;;;107;16;7,8;0
RS0000260;;GlückAuf;05.03.2022;;;;89;21;0,6;0
RS0000261;;GlückAuf;05.03.2022;;;;56;31;6,8;0
RS0000262;;GlückAuf;05.03.2022;;;;29;12;1,3;0
RS0000263;;GlückAuf;05.03.2022;;;;67;19;3,3;0
RS0000264;;GlückAuf;05.03.2022;;;;25;37;6,8;0
RS0000264;;GlückAuf;05.03.2022;;;;39;9;0,6;0
RS0000265;;GlückAuf;05.03.2022;;;;114;39;4,3;0
RS0000266;;GlückAuf;05.03.2022;;;;84;14;0,55;0
RS0000267;;GlückAuf;05.03.2022;;;;119;30;1,8;0
RS0000268;;GlückAuf;05.03.2022;;;;111;7;7,8;0
RS0000269;;GlückAuf;05.03.2022;;;;30;10;3,8;0
RS0000269;;GlückAuf;05.03.2022;;;;32;37;4,8;0
RS0000269;;GlückAuf;05.03.2022;;;;74;23;2,8;0
RS0000269;;GlückAuf;05.03.2022;;;;95;40;1,8;0
RS0000270;;GlückAuf;05.03.2022;;;;106;18;6,8;0
RS0000271;;GlückAuf;05.03.2022;;;;108;39;7,8;0
RS0000272;;GlückAuf;05.03.2022;;;;36;49;0,3;0
RS0000273;;GlückAuf;05.03.2022;;;;96;44;7,8;0
RS0000274;;GlückAuf;05.03.2022;;;;40;17;0,8;0
RS0000274;;GlückAuf;05.03.2022;;;;46;42;7,8;0
RS0000275;;GlückAuf;05.03.2022;;;;17;17;3,3;0
RS0000276;;GlückAuf;05.03.2022;;;;4;49;4,8;0
RS0000277;;GlückAuf;05.03.2022;;;;35;18;0,8;0
RS0000278;;GlückAuf;05.03.2022;;;;51;9;1,8;0
RS0000279;;GlückAuf;05.03.2022;;;;36;3;0,3;0
RS0000279;;GlückAuf;05.03.2022;;;;64;9;4,3;0
RS0000279;;GlückAuf;05.03.2022;;;;100;47;5,4;0
RS0000280;;GlückAuf;05.03.2022;;;;63;41;4,3;0
RS0000281;;GlückAuf;05.03.2022;;;;8;1;7,8;0
RS0000282;;GlückAuf;05.03.2022;;;;29;4;1,3;0
RS0000283;;GlückAuf;05.03.2022;;;;62;25;3,8;0
RS0000284;;GlückAuf;05.03.2022;;;;30;33;3,8;0
RS0000284;;GlückAuf;05.03.2022;;;;33;41;0,6;0
RS0000284;;GlückAuf;05.03.2022;;;;67;6;3,3;0
RS0000285;;GlückAuf;05.03.2022;;;;74;21;2,8;0
RS0000286;;GlückAuf;05.03.2022;;;;36;13;0,3;0
RS0000287;;GlückAuf;05.03.2022;;;;45;7;1,8;0
RS0000288;;GlückAuf;05.03.2022;;;;30;41;3,8;0
RS0000289;;GlückAuf;05.03.2022;;;;13;6;4,3;0
RS0000289;;GlückAuf;05.03.2022;;;;123;1;2,8;0
RS0000290;;GlückAuf;05.03.2022;;;;33;13;0,6;0
RS0000291;;GlückAuf;05.03.2022;;;;47;42;8,8;0
RS0000292;;GlückAuf;05.03.2022;;;;101;32;1,8;0
RS0000293;;GlückAuf;05.03.2022;;;;106;5;6,8;0
RS0000294;;GlückAuf;05.03.2022;;;;40;31;0,8;0
RS0000294;;GlückAuf;05.03.2022;;;;45;7;1,8;0
RS0000294;;GlückAuf;05.03.2022;;;;57;14;7,8;0
RS0000294;;GlückAuf;05.03.2022;;;;73;10;2,8;0
