WohnHistID;KundeID;Von;Bis;Strasse;Hausnummer;Adresszusatz;Plz;Ort;Land
20;20;01.05.2007;27.04.2008;Kattowitzer Straße;163;;55413;Niederheimbach;
320;20;28.04.2008;09.08.2014;In den Gruben;67;;27324;Hassel;
620;20;10.08.2014;;Schwanenkamp;197;;45130;Essen;
21;21;11.09.1995;08.07.1996;Avendruper Straße;157;;53539;Bongard;
321;21;09.07.1996;07.07.1997;Ladestraße;25;;53127;Bonn;
621;21;08.07.1997;;Orchideenstraße;32;;75331;Engelsbrand;
22;22;15.05.2011;13.05.2012;Mönkenstiege;52;;54668;Kaschenbach;
322;22;14.05.2012;23.04.2014;Längenfeldweg;4;;53578;Windhagen;
622;22;24.04.2014;;Auf dem Hasenberg;192;;84577;Tüßling;
23;23;27.03.1983;03.09.2000;Friedensweg;60;;45883;Gelsenkirchen;
323;23;04.09.2000;03.08.2006;Am alten Schulplatz;62;;93437;Furth;
623;23;04.08.2006;;Saynhofstraße;149;;24881;Nübel;
24;24;30.07.2016;27.10.2018;Deppengau;173;;56412;Niedererbach;
324;24;28.10.2018;29.10.2019;Bonsfelder Straße;177;;57520;Molzhain;
624;24;30.10.2019;;Voßstraße;122;;18258;Schwaan;
25;25;10.07.2002;12.07.2003;Soetenkamp;52;;67098;Bad Dürkheim an der Weinstraße;
325;25;13.07.2003;07.11.2003;Johann-August-Ring;6;;86489;Deisenhausen;
625;25;08.11.2003;;Pilgerbornstraße;129;;47638;Straelen;
26;26;13.01.2007;14.03.2012;Wehrer Straße;43;;65385;Rüdesheim am Rhein;
326;26;15.03.2012;18.03.2013;Märkische Straße;153;;37308;Geisleden;
626;26;19.03.2013;;Fockenbachstraße;195;;67827;Becherbach;
27;27;24.08.1980;17.05.2011;Am alten Garten;48;;53547;Hausen;
327;27;18.05.2011;21.05.2012;Lambertistraße;113;;8352;Raschau-Markersbach;
627;27;22.05.2012;;Am Silberberg;82;;47638;Straelen;
28;28;25.12.1996;30.12.1997;Am Wulfkamp;36;;33102;Paderborn;
328;28;31.12.1997;07.07.2014;Rott;101;;79737;Herrischried;
628;28;08.07.2014;;Am Ziegelofen;111;;66916;Breitenbach;
29;29;21.03.2018;27.03.2019;Roggenkamp;86;;45739;Oer-Erkenschwick;
329;29;28.03.2019;27.01.2021;Rote Erde;10;;25826;Sankt Peter-Ording;
629;29;28.01.2021;;Hermann-Kätelhön-Straße;119;;64407;Fränkisch-Crumbach;
30;30;15.01.1987;21.09.1994;Nordhäuser Straße;93;;65375;Oestrich-Winkel;
330;30;22.09.1994;22.10.2017;Laacher Straße;67;;95236;Stammbach;
630;30;23.10.2017;;Veilchenweg;121;;38473;Tiddische;
31;31;10.08.1974;27.04.1987;In der Bitz;32;;63924;Kleinheubach;
331;31;28.04.1987;05.05.1988;Diepe Kuhweg;124;;29571;Rosche;
631;31;06.05.1988;;Am Mühlgraben;147;;36320;Kirtorf;
32;32;02.01.1979;18.05.2000;Auf m Eichhahn;3;;57614;Ratzert;
332;32;19.05.2000;28.05.2001;Bahnhofstraße;164;;73663;Berglen;
632;32;29.05.2001;;Claudiusstraße;100;;37412;Elbingerode;
33;33;05.01.2002;15.01.2003;Im Sässel;18;;28219;Bremen;
333;33;16.01.2003;21.11.2004;Südostring;99;;67806;Dörrmoschel;
633;33;22.11.2004;;Am Apostelberg;34;;23936;Bernstorf;
34;34;23.01.1996;23.07.2004;Kurtrierer Straße;19;;37218;Witzenhausen;
334;34;24.07.2004;04.08.2005;Unverhofftstraße;110;;25376;Krempdorf;
634;34;05.08.2005;;Meerheck;111;;97514;Oberaurach;
35;35;24.05.1994;05.06.1995;Bitzchen;108;;49393;Lohne;
335;35;06.06.1995;13.04.1997;Auf den Middeln;135;;54655;Kyllburgweiler;
635;35;14.04.1997;;Bayernweg;166;;44141;Dortmund;
36;36;10.03.2010;20.01.2017;Hellertalstraße;109a;;67808;Falkenstein;
336;36;21.01.2017;03.02.2018;Kiesgräble;21;;71579;Spiegelberg;
636;36;04.02.2018;;Rurstraße;175;;86934;Reichling;
37;37;12.05.2015;25.02.2021;Am Wasserwerk;90;;55430;Oberwesel;
337;37;26.02.2021;12.03.2022;Gärtenstraße;170;;77736;Zell am Harmersbach;
637;37;13.03.2022;;In der Lüh;63;;58135;Hagen;
38;38;02.01.2014;17.01.2015;Fresnostraße;193;;85661;Forstinning;
338;38;18.01.2015;28.11.2016;Neue Kirchstraße;61;;78580;Bärenthal;
638;38;29.11.2016;;Geneschen;47 a;;56283;Morshausen;
39;39;25.11.1981;11.12.1982;Gladbecker Straße;84;;27798;Hude;
339;39;12.12.1982;23.10.1984;Schönblick;175;;56357;Hainau;
639;39;24.10.1984;;Leienstraße;71;;6333;Welbsleben;
40;40;16.08.2006;02.09.2007;Im Römerkastell;99;;56355;Nastätten;
340;40;03.09.2007;16.07.2009;Leyler Weg;17;;53520;Wershofen;
640;40;17.07.2009;;Im Dorf;163;;24340;Altenhof;
41;41;19.06.1980;07.07.1981;Marother Straße;81;;55606;Heimweiler;
341;41;08.07.1981;24.06.1995;Neubaustraße;162;;23845;Dreggers;
641;41;25.06.1995;;In den Birken;142;;39606;Düsedau;
42;42;04.07.1971;22.07.1972;Im Kappesgarten;187;;25923;Holm;
342;42;23.07.1972;16.11.1991;Asterweg;173;;87663;Lengenwang;
642;42;17.11.1991;;Geiersknappen;189;;67304;Eisenberg;
43;43;10.10.1989;16.12.2001;Ahbachstraße;96;;26897;Hilkenbrook;
343;43;17.12.2001;29.04.2003;Zur Windmühle;114;;59387;Ascheberg;
643;43;30.04.2003;;Habichtshöhe;9;;95032;Hof an der Saale;
44;44;06.11.2009;27.11.2010;Fürstenbergstraße;36;;56357;Auel;
344;44;28.11.2010;29.12.2015;Dronkestraße;163;;95183;Trogen;
644;44;30.12.2015;;Langenbacher Straße;112;;37081;Göttingen;
45;45;24.06.1986;21.09.2006;Eggenpfad;191;;54655;Zendscheid;
345;45;22.09.2006;14.10.2007;Markstraße;159;;56459;Weltersburg;
645;45;15.10.2007;;An der Brache;28;;88267;Vogt;
46;46;19.09.1992;08.05.2001;Venn;80;;66909;Matzenbach;
346;46;09.05.2001;01.06.2002;Große Fährgasse;98;;24635;Daldorf;
646;46;02.06.2002;;In der Aue;65;;56767;Kolverath;
47;47;18.09.1999;28.10.2017;Neue Reihe;108;;91477;Markt Bibart;
347;47;29.10.2017;22.11.2018;Bergstiege;65;;37619;Hehlen;
647;47;23.11.2018;;In den Heilgärten;59;;27386;Bothel;
48;48;04.08.1974;03.05.2019;Sevelener Straße;44;;74206;Bad Wimpfen;
348;48;04.05.2019;28.05.2020;Eichener Straße;165;;56767;Kolverath;
648;48;29.05.2020;;Elzerhöfe;27;;64297;Darmstadt;
49;49;26.09.1971;11.03.1978;Sängerstraße;88;;88636;Illmensee;
349;49;12.03.1978;06.04.2007;Lange Straße;65;;54552;Schönbach;
649;49;07.04.2007;;Winkeln;1;;42283;Wuppertal;
50;50;03.12.1974;07.03.2000;Hermann-Treff-Weg;90;;84137;Vilsbiburg;
350;50;08.03.2000;18.08.2010;Rothenberger Straße;40;;66903;Dittweiler;
650;50;19.08.2010;;Mondring;134;;78600;Kolbingen;
51;51;16.09.1991;12.11.2011;Pilsgasse;155;;24996;Sterup;
351;51;13.11.2011;10.12.2012;Hohler Weg;188;;37434;Wollershausen;
651;51;11.12.2012;;Tulpenstraße;76;;59069;Hamm;
52;52;07.11.2002;06.12.2003;Gustav-Tweer-Weg;16;;25581;Hennstedt;
352;52;07.12.2003;31.10.2005;Schaafsweg;32;;25724;Neufelderkoog;
652;52;01.11.2005;;Plaidterwegsrest;53;;67229;Gerolsheim;
53;53;15.03.1982;04.07.2017;Mettmanner Straße;78;;54317;Kasel;
353;53;05.07.2017;04.08.2018;Judengasse;198a;;20259;Hamburg;
653;53;05.08.2018;;Am Kanal;57;;84552;Geratskirchen;
54;54;23.05.1971;09.05.2015;Niederbreitbacher Straße;158;;49638;Nortrup;
354;54;10.05.2015;09.06.2016;Ludwigstraße;146;;45468;Mülheim an der Ruhr;
654;54;10.06.2016;;Kaarster Straße;169;;49356;Diepholz;
55;55;17.11.1993;19.12.1994;Tannenweg;151;;89347;Bubesheim;
355;55;20.12.1994;25.03.1996;Am Erlkönig;159;;71634;Ludwigsburg;
655;55;26.03.1996;;Auf der Füll;121;;71577;Großerlach;
56;56;10.09.1983;15.06.1997;Weiherdamm;94;;86508;Rehling;
356;56;16.06.1997;19.07.1998;Schmiedgasse;196;;66996;Fischbach;
656;56;20.07.1998;;Schniewindstraße;64;;76287;Rheinstetten;
57;57;08.09.1981;12.10.1982;Im Weiler;169;;38319;Remlingen;
357;57;13.10.1982;11.09.1984;Uhlenhorst;87;;84533;Stammham;
657;57;12.09.1984;;Mühlweg;133;;29581;Gerdau;
58;58;25.05.1977;01.12.1999;Frenzer Driesch;21;;45307;Essen;
358;58;02.12.1999;27.03.2018;Kempelstraße;118;;85113;Böhmfeld;
658;58;28.03.2018;;Weltersbachstraße;8;;25569;Kremperheide;
59;59;17.03.1991;24.06.2012;Freiberger Straße;197c;;56567;Neuwied;
359;59;25.06.2012;31.07.2013;Krankenhausstraße;154;;25794;Pahlen;
659;59;01.08.2013;;Löwenburgweg;144;;57647;Enspel;
60;60;20.08.1974;13.06.1989;Schildsheider Straße;139;;54529;Spangdahlem;
360;60;14.06.1989;31.10.1989;Kemptener Straße;163;;46485;Wesel am Rhein;
660;60;01.11.1989;;Klosterweg;22;;59557;Lippstadt;
61;61;21.07.2018;28.08.2019;Goldenbock;111;;37170;Schoningen;
361;61;29.08.2019;01.08.2021;Maria-Lind;95;;76307;Karlsbad;
661;61;02.08.2021;;Kämpchen;190;;56457;Westerburg;
62;62;29.01.1972;01.09.1992;Am Lindchen;50;;26427;Esens;
362;62;02.09.1992;11.10.1993;Breite Straße;35;;55483;Heinzenbach;
662;62;12.10.1993;;Hirzenhubstraße;108;;59192;Bergkamen;
63;63;10.07.1998;19.08.1999;Bergweg;68;;23909;Fredeburg;
363;63;20.08.1999;28.11.2016;Lenningser Straße;162;;87657;Görisried;
663;63;29.11.2016;;Lortzingstraße;22;;76456;Kuppenheim;
64;64;22.05.1970;07.10.2003;Albert-Schweitzer-Straße;84;;17349;Schönbeck;
364;64;08.10.2003;09.04.2019;Paul-Keller-Straße;60;;97286;Sommerhausen;
664;64;10.04.2019;;Scheibenstraße;130;;86928;Hofstetten;
65;65;10.06.2019;21.07.2020;Niederberger Straße;80;;48324;Sendenhorst;
365;65;22.07.2020;29.06.2022;Breisacher Straße;91;;66504;Bottenbach;
665;65;30.06.2022;;Engerser Landstraße;124;;82497;Unterammergau;
66;66;09.02.1970;29.02.2000;Rother Straße;85;;68753;Waghäusel;
366;66;01.03.2000;13.04.2001;Grundschötteler Straße;139;;55234;Wahlheim;
666;66;14.04.2001;;Kellereistraße;96;;25578;Neuenbrook;
67;67;29.09.1995;12.04.2015;Thanheimer Straße;163 b;;24619;Bornhöved;
367;67;13.04.2015;26.05.2016;Schiffenborn;113;;55585;Hochstätten;
667;67;27.05.2016;;Naunheimer Straße;61;;21483;Gülzow;
68;68;02.04.1983;16.05.1984;Bernwardring;18;;19406;Mustin;
368;68;17.05.1984;27.04.1986;Köln-Leipziger-Straße;75;;49751;Sögel;
668;68;28.04.1986;;Rothenberger Straße;190;;55413;Niederheimbach;
69;69;15.01.2014;28.10.2016;Pappelstraße;34;;25794;Dörpling;
369;69;29.10.2016;14.12.2017;Kaiser-Heinrich-Straße;70;;77787;Nordrach;
669;69;15.12.2017;;Dominikanerstraße;112;;23936;Plüschow;
70;70;04.01.1997;20.02.1998;Rheiner Straße;18;;79695;Wieden;
370;70;21.02.1998;03.02.2000;In der Oberwies;111;;84307;Eggenfelden;
670;70;04.02.2000;;Obere Bergstraße;109;;91796;Ettenstatt;
71;71;06.06.2011;23.07.2012;Im Wingertsberg;115;;56472;Hof;
371;71;24.07.2012;07.07.2014;Eschlohn;11;;25813;Südermarsch;
671;71;08.07.2014;;Haderschener Straße;45;;29462;Wustrow;
72;72;26.05.1983;13.07.1984;Schwiepinghook;101;;77955;Ettenheim;
372;72;14.07.1984;03.03.2011;Delpstraße;51;;67749;Offenbach-Hundheim;
672;72;04.03.2011;;Erbdrostenweg;194;;27628;Sandstedt;
73;73;22.07.2020;10.09.2021;Netter;114;;56357;Welterod;
373;73;11.09.2021;27.08.2023;Huthsweg;195;;25899;Klixbüll;
673;73;28.08.2023;;Gänsberg;47;;54675;Wallendorf;
74;74;14.04.1985;04.06.1986;Reichenbacher Straße;32;;82386;Huglfing;
374;74;05.06.1986;21.05.1988;Diemelweg;34;;35625;Hüttenberg;
674;74;22.05.1988;;Am Kamp;92;;35423;Lich;
75;75;09.03.2004;01.09.2019;Schwabacher Straße;139;;63801;Kleinostheim;
375;75;02.09.2019;23.10.2020;Alte Wiese;37;;73116;Wäschenbeuren;
675;75;24.10.2020;;Vorm Arheckengarten;60;;79427;Eschbach;
76;76;12.09.1994;04.11.1995;Dresdner Straße;169;;37242;Bad Sooden-Allendorf;
376;76;05.11.1995;23.10.1997;Berrischstraße;61;;57572;Niederfischbach;
676;76;24.10.1997;;Notscheider Straße;63;;15569;Woltersdorf;
77;77;21.06.1985;03.05.1986;Im Kirdorf;55;;23619;Zarpen;
377;77;04.05.1986;28.08.1987;Vorm Arheckengarten;47;;55595;Braunweiler;
677;77;29.08.1987;;Hübingerweg;36;;73433;Aalen;
78;78;15.02.1997;13.12.1997;Lingelbacher Straße;68;;55585;Niederhausen;
378;78;14.12.1997;07.02.1999;Ulmtalstraße;177;;56379;Horhausen;
678;78;08.02.1999;;Julius-Leber-Straße;110;;92447;Holzhof;
79;79;03.05.1990;02.01.2010;Gollenseifen;61;;24793;Bargstedt;
379;79;03.01.2010;28.02.2011;Eschgarten;110;;67308;Biedesheim;
679;79;01.03.2011;;Eichhornweg;64;;56291;Wiebelsheim;
80;80;18.12.1997;13.01.2015;Oberhausener Straße;149;;86899;Landsberg am Lech;
380;80;14.01.2015;11.03.2016;Kaulstraße;44;;73568;Durlangen;
680;80;12.03.2016;;Hufelandstraße;179;;40239;Düsseldorf;
81;81;12.05.1972;01.11.1997;Robert-Schuman-Straße;8;;8468;Heinsdorfergrund;
381;81;02.11.1997;30.12.1998;Haselstraße;158;;74869;Schwarzach;
681;81;31.12.1998;;Holbeinstraße;54;;86633;Neuburg an der Donau;
82;82;08.07.1981;21.03.2014;Schelmenweg;60;;66620;Nonnweiler;
382;82;22.03.2014;20.05.2015;Redder;133 c;;93486;Runding;
682;82;21.05.2015;;Wiehagener Straße;101;;63872;Heimbuchenthal;
83;83;18.02.1976;02.06.1999;Zum Felsen;134;;26446;Friedeburg;
383;83;03.06.1999;24.03.2019;Egenstraße;80;;54340;Riol;
683;83;25.03.2019;;Am Friedheimer See;153;;56414;Weroth;
84;84;18.09.1994;18.11.1995;Eichenweg;63;;25364;Osterhorn;
384;84;19.11.1995;07.04.2016;Urmitzer Weg;90;;64859;Eppertshausen;
684;84;08.04.2016;;Krayer Straße;172;;54673;Krautscheid;
85;85;15.07.2019;14.09.2020;Ahrblick;16 b;;71711;Steinheim an der Murr;
385;85;15.09.2020;12.09.2022;Watzmannstraße;117;;72226;Simmersfeld;
685;85;13.09.2022;;Goldbach;190;;71522;Backnang;
86;86;03.06.1999;19.06.2020;Königsfelder Allee;182;;48465;Ohne;
386;86;20.06.2020;22.08.2021;Sandstiege;47;;85104;Pförring;
686;86;23.08.2021;;Pellmannssteg;26;;74249;Jagsthausen;
87;87;24.08.1977;29.10.2011;Köpenicker Straße;139;;4316;Mölkau;
387;87;30.10.2011;01.01.2013;Alvingheide;93;;60529;Frankfurt am Main;
687;87;02.01.2013;;Niederseelbach;83;;67434;Neustadt an der Weinstraße;
88;88;17.05.2018;21.07.2019;Leuzbacher Weg;53b;;36369;Lautertal;
388;88;22.07.2019;21.07.2021;Frankenhof;37;;65391;Lorch;
688;88;22.07.2021;;Köttenicher Straße;179;;25856;Hattstedt;
89;89;17.06.2011;21.08.2012;Mengerskircher Weg;6;;25582;Looft;
389;89;22.08.2012;23.08.2014;Schwarzbachstraße;126;;74423;Obersontheim;
689;89;24.08.2014;;Zur Hardt;161;;21376;Gödenstorf;
90;90;27.12.1978;28.01.1980;Kesselheimer Straße;155;;63543;Neuberg;
390;90;29.01.1980;12.04.2007;Zum Röthchen;45;;67806;Teschenmoschel;
690;90;13.04.2007;;Lachenstraße;197;;54636;Hütterscheid;
91;91;13.03.1975;30.12.2017;Beulstraße;171;;54558;Strohn;
391;91;31.12.2017;09.03.2019;Donnenstraße;124;;66904;Börsborn;
691;91;10.03.2019;;Kaarster Straße;114;;95691;Hohenberg an der Eger;
92;92;09.08.1988;02.07.1995;Gaterstraße;79;;49549;Ladbergen;
392;92;03.07.1995;21.06.2009;Joststraße;48;;31595;Steyerberg;
692;92;22.06.2009;;Dillbrechter Straße;46;;66484;Battweiler;
93;93;08.07.2002;22.10.2009;Südwall;135;;56337;Kadenbach;
393;93;23.10.2009;01.01.2011;Borgkamp;170;;65555;Limburg an der Lahn;
693;93;02.01.2011;;Brunsbütteler Damm;54;;25927;Aventoft;
94;94;19.09.2019;28.11.2020;Richard-Strauß-Straße;34;;38889;Heimburg;
394;94;29.11.2020;05.12.2022;Klausenstraße;193;;56767;Kötterichen;
694;94;06.12.2022;;Neuland;193;;56858;Neef;
95;95;05.08.1980;26.11.1984;Helbecker Weg;169;;26757;Borkum;
395;95;27.11.1984;09.11.2019;Brentanostraße;142;;33161;Hövelhof;
695;95;10.11.2019;;Tribergstraße;177;;60435;Frankfurt am Main;
96;96;12.09.1970;18.08.1972;Neuendorfer Straße;35;;12051;Berlin - Neukölln;
396;96;19.08.1972;22.10.1998;Ruhrallee;79;;23968;Gägelow;
696;96;23.10.1998;;Tanzbergstraße;85;;94143;Grainet;
97;97;14.07.1974;02.06.2009;Linscheider Straße;91;;94140;Ering;
397;97;03.06.2009;16.02.2019;Ziegeleistraße;153;;71636;Ludwigsburg;
697;97;17.02.2019;;Thingslindestraße;2;;39638;Wiepke;
98;98;23.04.1988;25.05.1995;Dienethaler Straße;133b;;37079;Göttingen;
398;98;26.05.1995;10.02.2017;Joseph-Haydn-Straße;39;;72666;Neckartailfingen;
698;98;11.02.2017;;Egenstraße;140;;65558;Burgschwalbach;
99;99;10.02.1977;27.04.1978;Dreizehnerstraße;171;;27472;Cuxhaven;
399;99;28.04.1978;23.02.2021;In der Blemke;125;;67678;Mehlingen;
699;99;24.02.2021;;Karolingerstraße;167;;54570;Rockeskyll;
100;100;29.01.2012;15.04.2013;Im Hamm;106;;65589;Hadamar;
400;100;16.04.2013;28.04.2015;Am Kaltberg;16;;74936;Siegelsbach;
700;100;29.04.2015;;Regentenstraße;117;;53859;Niederkassel;
101;101;03.07.1988;23.11.1988;Gabelsbergerstraße;191c;;55597;Wöllstein;
401;101;24.11.1988;;Adelheidstraße;195;;82497;Unterammergau;
102;102;25.04.1991;16.09.1991;Reeperbahn;152;;31195;Lamspringe;
402;102;17.09.1991;;Starweg;83;;53520;Insul;
103;103;02.01.1985;27.05.1985;Zur Windmühle;190;;56291;Maisborn;
403;103;28.05.1985;;Roseggerstraße;123;;65629;Niederneisen;
104;104;02.05.2020;25.09.2020;Im Gässchen;107;;71131;Oberjettingen;
404;104;26.09.2020;;Willertshagen;169;;63863;Eschau;
105;105;16.11.2007;11.04.2008;Im Haubenfeld;95;;69239;Neckarsteinach;
405;105;12.04.2008;;Hagelkreuzstraße;138;;31868;Ottenstein;
106;106;07.11.1983;03.04.1984;Flachskamp;46;;67376;Harthausen;
406;106;04.04.1984;;Kurfürstenwiese;151;;57076;Siegen;
107;107;30.07.1980;26.12.1980;Jerichostraße;68;;70193;Stuttgart;
407;107;27.12.1980;;Im Hagen;80;;23898;Duvensee;
108;108;20.11.1985;19.04.1986;Waldorfer Straße;110;;12105;Berlin;
408;108;20.04.1986;;Am Wulfkamp;26;;27243;Harpstedt;
109;109;02.04.2018;31.08.2018;Offerkämpe;144;;69214;Eppelheim;
409;109;01.09.2018;;Wollinstraße;183;;25585;Lütjenwestedt;
110;110;06.03.2008;05.08.2008;Am Struckey;100;;57612;Helmeroth;
410;110;06.08.2008;;Havichhorster Mühle;107;;29394;Lüder;
111;111;02.09.2013;02.02.2014;Tiefer Weg;130;;58840;Plettenberg;
411;111;03.02.2014;;Böttgerstraße;88;;24392;Dollrottfeld;
112;112;22.08.1981;05.03.2014;Alter Markt;43;;25876;Schwabstedt;
412;112;06.03.2014;;Auf dem Flurzaun;78;;64285;Darmstadt;
113;113;26.12.1987;13.05.2011;Lagemannstraße;173;;87439;Kempten;
413;113;14.05.2011;;Brückstraße;75;;71149;Bondorf;
114;114;25.05.2014;28.10.2014;Hügelstraße;17;;29579;Emmendorf;
414;114;29.10.2014;;Landkerner Straße;174;;29359;Habighorst;
115;115;11.02.1976;09.02.2018;Im Lag;102;;38159;Vechelde;
415;115;10.02.2018;;Am Berg;128;;56340;Dachsenhausen;
116;116;29.11.1995;12.04.1996;Im Haltebrock;89;;31020;Salzhemmendorf;
416;116;13.04.1996;;Petersstraße;188a;;83673;Bichl;
117;117;18.08.2010;24.01.2011;Laukamp;172;;24354;Rieseby;
417;117;25.01.2011;;Nelkenstraße;165;;54675;Biesdorf;
118;118;12.02.1983;03.08.1983;Am Hofacker;194;;76327;Pfinztal;
418;118;04.08.1983;;Grünenthal;65c;;63930;Neunkirchen;
119;119;20.08.1998;28.01.1999;Am Grauen Stein;155;;54614;Heisdorf;
419;119;29.01.1999;;Olmerich;89;;67473;Lindenberg;
120;120;13.12.2004;24.05.2005;Eckeseyer Straße;133;;77731;Willstätt;
420;120;25.05.2005;;Nußbaumstraße;131;;71069;Sindelfingen;
121;121;08.04.2004;21.07.2016;Angermunder Straße;38c;;73104;Börtlingen;
421;121;22.07.2016;;Ostenbergstraße;67;;67316;Carlsberg;
122;122;22.11.2009;05.05.2010;Benediktstraße;59;;36157;Ebersburg;
422;122;06.05.2010;;Bernhardtstraße;72;;82402;Seeshaupt;
123;123;27.07.1976;11.08.1991;Kornhahnstraße;116;;49456;Bakum;
423;123;12.08.1991;;Ursulinenstraße;156;;37293;Herleshausen;
124;124;10.03.1973;26.04.1983;Zum Müggenberg;53;;48619;Heek;
424;124;27.04.1983;;Eislebener Straße;153;;24242;Felde;
125;125;31.12.2007;15.06.2008;Am Urnenfeld;44;;67098;Bad Dürkheim an der Weinstraße;
425;125;16.06.2008;;Im Unterdorf;163;;55294;Bodenheim;
126;126;20.06.1989;27.03.2009;Horststraße;189;;79804;Dogern;
426;126;28.03.2009;;Hollertszug;154;;96476;Bad Rodach;
127;127;31.01.1995;22.02.2005;Baumberg;53;;49685;Bühren;
427;127;23.02.2005;;Breitenrathstraße;73;;55283;Nierstein;
128;128;25.07.1994;21.02.1997;Eicher Straße;118;;34549;Edertal;
428;128;22.02.1997;;Steinergasse;134;;47441;Moers;
129;129;28.02.1999;18.08.1999;Kälberbitze;8;;38312;Achim;
429;129;19.08.1999;;Schefferstraße;176;;25792;Strübbel;
130;130;21.09.1977;12.03.1978;Hagemer Kirchweg;187;;49593;Bersenbrück;
430;130;13.03.1978;;Neusser Straße;5;;49596;Gehrde;
