KundeID;VereinsPartnerID;Vorname;Name;Geschlecht;Geburtsdatum;Telefon;Mobil;Email;Kreditkarte;GueltigBis;KKFirma
48;;Thorsten;Petersen;m;28.11.1937;0941/56908084;0152/8443033;t-petersen@company.none;0000 1461 0605 0000;04/17;VISA
49;Druff1848;Käthchen;Majewski;w;04.04.1988;02643/72545370;0179/1595807;kaethchen_majewski@web.none;0000 0357 0900 0000;10/96;Mastercard
50;;Elfy;Clayton;w;03.02.1941;08641/3459764;0162/6542216;elfyclayton@open-mail.none;0000 4754 0502 2000;03/20;VISA
51;VolleRose;Evelore;Bruno;;10.07.1906;03996/15982107;0154/6832603;evelore.bruno@anymail.none;0000 9154 0616 5000;07/20;Mastercard
52;;Christel;Dirks;;09.06.1970;;0152/7004644;christel.dirks@domain.none;0000 5672 0693 2900;07/20;Mastercard
53;;Friedgard;Hövel;w;28.12.1956;08034/83799366;;friedgard.hoevel@open-mail.none;0000 3783 0944 5400;02/20;VISA
54;;Markwart;Klütsch;m;15.02.1902;;0151/7314181;markwart.kluetsch@ultramail.none;0000 9462 2901 1000;05/18;VISA
55;GlückAuf;Nick;Willemsen;m;01.06.1993;04665/18437247;;nick-willemsen@web.none;0000 8021 6617 1900;05/99;VISA
56;;Ilselore;Max;w;23.01.1934;05162/73083498;;ilseloremax@web.none;0000 4326 5626 9400;11/14;American Express
57;Morgenstern;Otfried;Hopf;d;05.06.1925;02692/94777741;0175/4106280;o1925@web.none;0000 6228 0698 7800;07/18;Mastercard
58;Blaetterglueck;Gisbert;Marks;m;14.09.1965;06696/55959241;0175/5643608;gisbert.marks@company.none;0000 5475 3500 0000;12/11;American Express
59;;Karlfried;Bertram;m;16.09.1946;;0177/1740225;karlfriedbertram@spam-mail.none;0000 3747 2700 2900;08/03;Mastercard
60;WochenendGLück;Vivien;Kokott;w;13.03.2015;;0173/5817542;vivien.kokott@retromail.none;0000 2576 0260 0000;12/17;American Express
61;;Maik;Maus;m;11.09.2003;02661/69236454;;m_maus@xyz.none;0000 4563 0901 0000;11/08;American Express
62;Druff1848;Horst;Manning;d;15.04.1950;06550/10492762;0168/7214764;horst_manning@domain.none;0000 2730 1308 0000;11/17;American Express
63;;Anica;Napp;w;15.10.1907;06221/80864193;0150/6864515;anica_napp@mymail.none;0000 9250 8700 0500;11/11;American Express
64;VolleRose;Reni;Eppler;;29.04.1903;0203/66929082;0175/3210841;reni_epp@kitty.none;0000 0955 0912 0000;06/10;Mastercard
65;;Willma;Rockel;w;28.11.1913;06525/75330863;0167/1247289;willma-rockel@private.none;0000 1562 0700 2400;09/76;Mastercard
66;;Sonnhild;Dütsch;;05.08.1950;06751/87284175;;sonnhild-50@private.none;0000 9160 2911 2000;10/14;Mastercard
67;;Margrit;Händler;w;09.02.1962;;0170/8890846;margrit_62@hoster.none;0000 3147 8535 2000;10/20;Mastercard
68;GlückAuf;Ambros;Hanemann;m;25.08.1988;05875/61951269;0168/2390726;ambroshanemann@spam-mail.none;0000 9333 0600 9800;11/12;American Express
69;;Kathrina;Lüttich;d;24.07.1955;02692/44265118;0156/5593583;kathrina_luettich@funmail.none;0000 6624 0603 0000;09/01;Mastercard
70;Morgenstern;Jörn;Göpfert;m;08.12.1923;02691/2774377;0150/5469457;joern.goepfert@justmail.none;0000 8272 0691 1900;09/19;Mastercard
71;Blaetterglueck;Tiemo;Hamacher;m;16.07.1939;06551/61635596;0179/8130491;t-hamacher@xyz.none;0000 9372 0501 0100;04/19;VISA
72;;Magdalene;Fritsche;w;25.12.2020;;0172/8658234;magdalene.20@goggle-mail.none;0000 7376 3515 6000;12/17;American Express
73;WochenendGLück;Käthi;Kupsch;;21.01.1996;04282/98612255;0178/9213730;kaethi_kupsch@goggle-mail.none;0000 6644 0400 3700;09/92;Mastercard
74;;Edelinde;Nehring;;02.08.1978;06486/22166869;0158/6964270;edelinde-1978@open-mail.none;0000 6050 6521 2400;05/01;VISA
75;Druff1848;Griseldis;Fahrner;w;19.11.1934;02691/12234171;0178/6842406;griseldis34@net-mail.none;0000 0380 0800 0000;03/15;VISA
76;;Lienhard;Below;m;14.05.1909;;0174/9833434;lienhard-below@mymail.none;0000 2761 3700 8600;09/06;Mastercard
77;VolleRose;Tilman;Figueroa;;30.06.2017;;0168/1521599;tilman.figueroa@email.none;0000 2669 2900 0000;06/92;Mastercard
78;;Erkhild;Arens;w;25.06.1969;06724/69475033;;erkhild_arens@company.none;0000 6724 0501 1000;03/11;VISA
79;;Marianne;Markovic;w;13.07.2010;04561/73667857;0157/8745023;marianne.markovic@private.none;0000 5044 5800 7000;05/01;VISA
80;;Anfriede;Löw;d;01.03.1987;08243/86370067;0160/9702614;a.loew@hoster.none;0000 1765 0910 4000;02/04;VISA
81;GlückAuf;Rosa;Wendler;w;24.03.2002;0821/24195966;;rosa_wendler@retromail.none;0000 7257 6500 1000;02/15;VISA
82;;Nik;Lindemann;m;01.09.1977;;;niklindemann@open-mail.none;0000 2668 3500 4800;09/97;Mastercard
83;Morgenstern;Diethart;Detlefsen;m;13.02.1907;0228/39047774;0171/7845678;diethart-07@retromail.none;0000 1787 0540 0000;11/12;American Express
84;Blaetterglueck;Wolfgard;Gabel;w;05.06.1902;04281/7179799;0160/5921773;wolfgard-gabel@anymail.none;0000 2657 0928 0000;09/20;Mastercard
85;;Marius;Rathke;m;24.02.1960;08106/70916661;0154/3326042;marius1960@quickmail.none;0000 6071 1600 0000;10/15;Mastercard
86;WochenendGLück;Ribana;Eisenblätter;w;24.08.1954;;0155/7969886;ribana.eisenblaetter@justmail.none;0000 9854 5700 9400;06/12;Mastercard
87;;Hansgerd;Lautner;m;27.01.1946;03973/38898490;0166/7147530;h.lautner@web.none;0000 7653 3500 0000;07/18;Mastercard
88;Druff1848;Melissa;Breitfeld;w;25.11.1935;02233/74514817;0176/8137512;melissa-breitfeld@mymail.none;0000 4968 3500 4800;06/88;Mastercard
89;;Helgomar;Matthiessen;m;23.07.1959;06525/47736641;0151/7766881;helgomar1959@spam-mail.none;0000 1526 5624 9000;09/19;Mastercard
90;VolleRose;Christhelm;Neuendorf;;05.06.1962;06586/52208040;;cneuendorf@quickmail.none;0000 7560 0501 0100;07/16;Mastercard
91;;Friedlies;Jenkins;w;25.07.1942;07042/49917301;0165/4790619;friedlies.jenkins@hoster.none;0000 5983 0645 6800;04/20;VISA
92;;Ricardo;Rieber;m;24.06.1921;06785/48422260;0174/9283236;ricardo.rieber@mymail.none;0000 5410 0610 0600;01/04;VISA
93;;Woldemar;Kampa;m;08.07.1925;0355/78183021;0159/8259709;w.kampa@kitty.none;0000 5059 0100 3900;04/16;VISA
94;GlückAuf;Babette;Rößner;w;17.06.1921;;0153/1866257;babetteroessner@domain.none;0000 0357 4700 4700;12/20;American Express
95;;Kathleen;Eigner;;20.08.1947;05861/84253109;;kathleen-eigner@company.none;0000 5486 0104 2400;02/13;VISA
96;Morgenstern;Rotraud;Steimle;w;02.05.1914;02402/49777479;0152/6733217;rotraud_steimle@lovemail.none;0000 0210 0700 2400;06/03;Mastercard
97;Blaetterglueck;Cäcilia;Bretschneider;w;05.01.1987;06087/50598849;0160/6390992;caecilia_bretschneider@goggle-mail.none;0000 5282 0700 0000;04/19;VISA
98;;Diemo;Wilkerson;m;06.02.1992;06500/28186455;0173/1606228;diemo-wilkerson@anymail.none;0000 3876 0260 0000;06/98;Mastercard
99;WochenendGLück;Karlheinrich;Conrady;m;16.06.1967;;0165/1342200;karlheinrich_conrady@validmail.none;0000 8770 0905 0000;07/87;Mastercard
100;;Friedlieb;Jimenez;m;13.07.1936;06554/48617409;;friedlieb.jimenez@net-mail.none;0000 5766 2914 0000;06/99;Mastercard
101;Druff1848;Anouschka;Schwegmann;d;08.12.1975;06361/36776096;0164/2432738;anouschka.schwegmann@mymail.none;0000 6071 0500 0000;12/18;American Express
102;;Rosely;Zender;w;16.04.2006;06131/15964260;0172/8315324;r.zender@net-mail.none;0000 5650 0930 0000;10/11;Mastercard
103;VolleRose;Josefine;Bernecker;d;12.12.1971;;0173/5212117;josefine.bernecker@private.none;0000 1453 2500 0000;02/21;VISA
104;;Sigfried;Veith;m;22.06.1955;;;sigfried_veith@quickmail.none;0000 1570 0518 0500;10/90;Mastercard
105;;Mechthilde;Fitzner;w;10.01.1963;08230/88088649;0152/5415707;mechthilde.fitzner@email.none;0000 1574 2500 0000;05/06;VISA
106;;Rosely;Eggers;w;18.01.1974;06771/25012286;0154/7614104;rosely_1974@quickmail.none;0000 5720 0400 0000;02/83;VISA
107;GlückAuf;Waltraud;Thier;w;31.12.1951;07157/85249796;0165/4543863;waltraudthier@web.none;0000 6425 0800 2000;12/10;American Express
108;;Willibert;Wanders;;18.01.1932;07025/19172323;0179/3613414;willibert_wanders@justmail.none;0000 6558 6619 0100;01/16;VISA
109;Morgenstern;Elrike;Buchheim;w;13.05.1977;04153/5921214;;elrike_buchheim@goggle-mail.none;0000 8426 6600 6000;08/19;Mastercard
110;Blaetterglueck;Mattis;Burghard;m;01.07.1938;02832/93682161;0166/1288184;mattis_burghard@quickmail.none;0000 4329 1626 9700;07/16;Mastercard
111;;Svea;Eckel;w;23.08.1971;;0162/7171893;s.eckel@bestmail.none;0000 4076 3515 6000;05/87;VISA
112;WochenendGLück;Walther;Reichhardt;m;03.11.1975;06564/97040137;0156/2857961;w.reichhardt@spam-mail.none;0000 0650 5101 3200;04/89;VISA
113;;Lotta;Wüstefeld;w;08.01.1964;;;l_wuestefeld@lovemail.none;0000 7547 2601 2100;11/14;American Express
114;Druff1848;Innozenz;Wilke;m;26.01.1943;04547/81148640;0171/7850260;innozenz_wilke@anymail.none;0000 8225 0700 2400;10/86;Mastercard
115;;Iman;Demirel;m;10.10.2015;06727/63554870;0169/1290925;idemirel@net-mail.none;0000 0778 0608 9600;07/03;Mastercard
116;VolleRose;Erkhild;Bödecker;w;28.10.1965;02131/88434418;0170/4707150;e-boedecker@open-mail.none;0000 3648 0700 2000;11/11;American Express
117;;Karlgünter;Lindenau;m;30.12.1943;;0171/1386923;karlguenter43@bestmail.none;0000 7784 0540 4000;10/15;Mastercard
118;;Edeltraud;Hardt;d;15.04.2005;02663/46415610;0177/3655143;edeltraudhardt@quickmail.none;0000 3773 3692 6400;03/20;VISA
119;;Bert;Zahn;d;07.02.1954;02691/42996751;0152/4447608;bert.zahn@anymail.none;0000 3670 0400 4800;05/15;VISA
120;GlückAuf;Emma;Riepe;;08.05.1944;07255/32413004;0178/9252417;emma-riepe@justmail.none;0000 9052 0700 2400;05/07;VISA
121;;Bertfriede;Brunkhorst;w;16.06.1903;;0157/5019255;b.brunkhorst@kitty.none;0000 6371 0610 0900;10/19;Mastercard
122;Morgenstern;Jessica;Reißig;w;22.06.2009;04305/43834509;0170/8475308;j.reissig@validmail.none;0000 7636 0800 8000;08/05;Mastercard
123;Blaetterglueck;Oscar;Bart;;26.07.2011;02202/90389090;0179/7033000;o_bart@xyz.none;0000 5830 0700 2400;11/13;American Express
124;;Dario;Rohlfs;m;07.11.1914;;0170/3402421;dario.rohlfs@quickmail.none;0000 7072 1608 1800;10/05;Mastercard
125;WochenendGLück;Eileen;Poppinga;w;19.03.1962;07531/8313514;;eileenpoppinga@anymail.none;0000 4558 5501 3000;10/13;Mastercard
126;;Gottwald;Lustenberger;m;05.07.1936;06563/44424869;0160/5202612;glichtenberger@inter-mail.none;0000 1776 0694 6800;08/19;Mastercard
127;Druff1848;Sighilde;Allmendinger;w;18.11.1970;04834/82684812;0159/4743966;sighilde-allmendinger@ultramail.none;0000 1874 1641 4900;11/20;American Express
128;;Ulwin;Reidenbach;;26.08.1961;05751/85481576;0175/4401688;ureidenbach@bestmail.none;0000 0818 0550 0000;04/90;VISA
129;VolleRose;Ludger;Gerber;m;29.05.1931;06762/34710919;0155/2206746;ludger.gerber@open-mail.none;0000 2970 0530 7000;04/15;VISA
130;;Arnfred;Juhnke;;16.04.1932;05364/11267894;0160/3171276;arnfred_juhnke@lovemail.none;0000 4114 0613 0800;08/04;Mastercard
131;;Hannelie;Dopfer;;23.10.1996;;0156/7415251;h-dopfer@ultramail.none;0000 9650 7500 9400;04/16;VISA
132;;Delf;Schiel;m;26.07.2005;;0158/5313535;d-schiel@kitty.none;0000 8869 0500 0100;03/91;VISA
133;GlückAuf;Eitelbert;Westenberger;m;12.07.1947;06094/7833060;;eitelbertwestenberger@funmail.none;0000 8968 0920 0000;03/11;VISA
134;;Gretl;Penzel;w;20.09.1939;;0156/4775632;gretl-penzel@mymail.none;0000 5642 0306 0000;11/95;American Express
135;Morgenstern;Holk;Wilms;d;14.01.1958;07243/1270334;0174/7421839;holk-wilms@company.none;0000 7929 2657 4700;01/17;VISA
136;Blaetterglueck;Gudula;Wehrle;w;04.06.1946;;0179/5639418;gudula_46@bestmail.none;0000 0568 3515 5700;04/13;VISA
137;;Susanne;Neufeld;w;22.11.2001;07141/71790384;0161/9182032;s.01@kitty.none;0000 9563 0614 8600;08/13;Mastercard
138;WochenendGLück;Doris;Köhnlein;w;06.11.1943;02685/89713045;;doris_koehnlein@retromail.none;0000 9850 7500 9400;06/20;Mastercard
139;;Annalena;Schaf;w;24.10.1953;02651/56442183;;a-schaf@net-mail.none;0000 5069 0618 0000;09/12;Mastercard
140;Druff1848;Merten;Bernhardt;;14.08.1986;;;merten.bernhardt@goggle-mail.none;0000 4832 0603 6200;06/83;Mastercard
141;;Robin;Zoeller;m;18.05.1979;;0163/9813343;r-zoeller@net-mail.none;0000 0585 0550 0000;11/15;American Express
142;VolleRose;Fred;Martens;d;21.12.1956;07236/1704201;;f_martens@funmail.none;0000 4831 2512 2000;02/18;VISA
143;;Karleugen;Perry;;27.08.1917;0511/70719831;;karleugen17@email.none;0000 6150 2304 0000;12/88;American Express
144;;Helwig;Stone;m;07.05.1968;07451/52326173;0170/2740914;h_stone@email.none;0000 7320 7500 0000;06/20;Mastercard
145;;Ireneus;Hauber;m;06.01.2005;06751/29142747;;ireneushauber@ultramail.none;0000 9146 0800 1000;12/84;American Express
146;GlückAuf;Albert;Wurster;m;30.03.1907;07275/4298476;0162/9773261;albertwurster@private.none;0000 1674 0500 0000;05/18;VISA
147;;Achim;Reineke;m;13.03.1986;;0161/3220482;achim.1986@bestmail.none;0000 8943 0609 6700;06/20;Mastercard
148;Morgenstern;Loremarie;Kocks;w;09.04.1921;030/45007487;0176/2970079;loremarie.21@inter-mail.none;0000 2172 0690 3600;06/06;Mastercard
149;Blaetterglueck;Erk;Graber;m;16.03.2008;06371/31100223;0179/9029001;egraber@lovemail.none;0000 4815 0505 0000;03/09;VISA
150;;Otwald;Nußbaumer;m;01.12.1965;05936/60168068;0167/5490249;otwaldnussbaumer@domain.none;0000 0852 3600 5900;05/18;VISA
151;WochenendGLück;Rosely;Dann;w;04.02.2015;03371/15260417;0152/8070120;rosely_dann@justmail.none;0000 9185 5900 0000;11/14;American Express
152;;Didi;Seidemann;m;28.12.2002;06708/61372940;0157/8573057;didi02@spam-mail.none;0000 8147 2515 5000;08/05;Mastercard
153;Druff1848;Wilbrand;Kasimir;m;29.10.1946;06771/91648909;0159/5669625;wilbrand-kasimir@inter-mail.none;0000 7079 1614 9900;11/02;American Express
154;;Willmar;Kaminski;m;01.03.1970;;0169/9096998;willmar-kaminski@inter-mail.none;0000 8476 0694 4100;05/11;VISA
155;VolleRose;Irminfried;Schreiber;m;18.07.1951;04344/96745640;0165/1164161;irminfried.schreiber@private.none;0000 2428 0216 2300;06/87;Mastercard
156;;Miguel;Grothe;m;03.08.1985;06527/12465464;0151/9355769;m.grothe@spam-mail.none;0000 1868 0920 0000;06/92;Mastercard
157;;Anneke;Obermann;w;28.07.1939;08122/52800493;0160/7837252;anneke_obermann@funmail.none;0000 1973 4514 5000;03/19;VISA
158;;Ingemarie;Stephan;w;21.05.2016;06375/22936249;0162/1907093;ingemarie-stephan@xyz.none;0000 5160 2618 1800;05/85;VISA
159;GlückAuf;Lilia;Leitl;w;05.08.1919;;0179/1742823;l.leitl@validmail.none;0000 0882 0700 0000;05/19;VISA
160;;Doraline;Fehling;w;24.02.1976;04283/90175873;;d.fehling@anymail.none;0000 8078 0608 9600;12/15;American Express
161;Morgenstern;Schorsch;Moreno;m;25.06.1909;;0152/1663892;schorsch_moreno@web.none;0000 8153 0932 0000;07/16;Mastercard
162;Blaetterglueck;Ursula;West;;13.11.1924;;0152/3243116;u_west@live-mail.none;0000 7923 0510 3000;06/13;Mastercard
163;;Margret;Schnoor;;10.11.1918;;0154/5528051;margret.schnoor@private.none;0000 8784 0800 0000;07/08;Mastercard
164;WochenendGLück;Udo;Sikora;m;31.10.1975;08253/5196691;0152/5161316;u-sikora@quickmail.none;0000 9067 4617 3300;03/94;VISA
165;;Kristiane;Ahr;w;02.12.1960;06550/60305867;0150/2417499;kristiane-1960@lovemail.none;0000 1024 1628 9800;12/14;American Express
166;Druff1848;Viktor;Burghard;m;01.05.2004;040/38836250;0164/8188813;viktorburghard@company.none;0000 5170 1900 0000;09/20;Mastercard
167;;Eckehart;Mehrens;m;18.04.1945;;0157/3773901;e.mehrens@anymail.none;0000 5270 0510 0300;03/10;VISA
168;VolleRose;Muhammed;Hillebrandt;m;25.01.1934;;;m.hillebrandt@anymail.none;0000 9370 3900 0000;10/01;Mastercard
169;;Withold;Grundmann;m;18.12.1917;06581/25834972;0170/7765522;w-grundmann@justmail.none;0000 4815 0504 0000;07/17;Mastercard
170;;Ilka;Wiemer;w;13.08.1938;0551/13724446;0161/8288861;i-wiemer@company.none;0000 4966 5500 7000;02/16;VISA
171;;Eileen;Köhler;w;03.10.1976;0481/60166219;;eileenkoehler@private.none;0000 6628 0906 3300;11/13;American Express
172;GlückAuf;Ludwig;Klingelhöfer;;12.05.2015;;0173/5162584;ludwig.klingelhoefer@hoster.none;0000 8246 0600 4000;12/92;American Express
173;;Heimgard;Petrich;;07.08.1954;07272/49929440;0175/4403002;heimgard-petrich@email.none;0000 8369 3620 3200;10/19;Mastercard
174;Morgenstern;Antonie;Juraschek;w;01.05.2009;08654/32494493;0158/7010623;antoniejuraschek@goggle-mail.none;0000 9772 0693 0800;09/05;Mastercard
175;Blaetterglueck;Ingmar;Endler;m;10.02.1962;06541/22731521;0158/5647872;i.endler@domain.none;0000 0515 0800 0000;09/03;Mastercard
176;;Desiderius;Guth;m;07.04.1909;06747/57854339;0164/6197375;desiderius.guth@bestmail.none;0000 5737 0800 8700;06/91;Mastercard
177;WochenendGLück;Nik;Steudel;d;16.09.2011;04681/90481821;0179/9983728;nik.steudel@bestmail.none;0000 5666 3500 3600;05/08;VISA
178;;Hiltrud;Osman;w;03.08.2005;02628/82287124;;hiltrud_osman@mymail.none;0000 0880 0200 8700;02/90;VISA
179;Druff1848;Janette;Fitz;;20.11.1965;07393/41893716;;j-fitz@mymail.none;0000 2287 0700 0000;12/11;American Express
180;;Lienard;Rennert;m;14.08.1952;0761/19822395;;lienard-rennert@quickmail.none;0000 1174 1910 0000;01/15;VISA
181;VolleRose;Amy;Landeck;w;06.11.1909;02663/56384371;;amy_landeck@justmail.none;0000 5453 2612 0200;01/00;VISA
182;;Dankwart;Bockholt;m;11.02.1937;06346/29907604;0173/7903917;d1937@ultramail.none;0000 2269 4917 0000;06/19;Mastercard
183;;Sybil;Rosendahl;w;07.04.1979;02685/81299487;;srosendahl@xyz.none;0000 2170 2501 5000;03/12;VISA
184;;Arnbert;Korb;m;24.07.1987;;;arnbert_korb@bestmail.none;0000 8879 0500 0000;04/19;VISA
185;GlückAuf;Edwina;Klauer;d;17.10.1948;;;edwina-klauer@private.none;0000 8177 0651 4100;10/19;Mastercard
186;;Sascha;Weyer;d;08.12.1930;03907/91547360;0179/8940136;s.30@xyz.none;0000 8757 6622 6300;04/94;VISA
187;Morgenstern;Hansjürgen;Dirks;m;22.07.1985;;0179/8784231;hansjuergen_dirks@goggle-mail.none;0000 6261 2612 1300;11/20;American Express
188;Blaetterglueck;Irlanda;Sirch;w;23.12.1969;06764/99222348;;i_sirch@net-mail.none;0000 6550 0617 4100;11/06;American Express
189;;Dankward;Jost;m;26.10.1920;030/1515492;0171/7671678;dankward.1920@email.none;0000 5052 0521 5400;07/12;Mastercard
190;WochenendGLück;Elke;Olbrich;w;29.04.1970;;0157/5520925;elke.olbrich@kitty.none;0000 7272 0691 1300;10/20;Mastercard
191;;Nikolaus;Gölz;m;25.01.1915;07044/47166104;0156/2613451;nikolaus_goelz@hoster.none;0000 2532 0500 0000;05/10;VISA
192;Druff1848;Viktor;Goos;m;05.11.2007;;0171/9973681;v.goos@bestmail.none;0000 5022 2900 3100;11/16;American Express
193;;Volkhardt;Tschöpe;;14.04.1939;06331/24887626;0159/5385686;v.39@live-mail.none;0000 2676 0695 5900;05/05;VISA
194;VolleRose;Kurd;Tiemann;;19.03.2002;0421/15547423;0152/2727573;k.tiemann@email.none;0000 8821 6900 2000;10/08;Mastercard
